assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,Full_Name,Unique_ID,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,team_xG_rolling_3,team_deep_rolling_3,team_xGA_rolling_3,team_deep_allowed_rolling_3,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_5,team_deep_rolling_5,team_xGA_rolling_5,team_deep_allowed_rolling_5,team_xG_rolling_13,team_deep_rolling_13,team_xGA_rolling_13,team_deep_allowed_rolling_13,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,team_xG_rolling_20,team_deep_rolling_20,team_xGA_rolling_20,team_deep_allowed_rolling_20,opponent_xG_rolling_3,opponent_deep_rolling_3,opponent_xGA_rolling_3,opponent_deep_allowed_rolling_3,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_5,opponent_deep_rolling_5,opponent_xGA_rolling_5,opponent_deep_allowed_rolling_5,opponent_xG_rolling_13,opponent_deep_rolling_13,opponent_xGA_rolling_13,opponent_deep_allowed_rolling_13,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,opponent_xG_rolling_20,opponent_deep_rolling_20,opponent_xGA_rolling_20,opponent_deep_allowed_rolling_20,season,position
0,0,11,0,1.8,274,0.0,0.29,0.1704888194799423,2.65,4,2,0,2.7,7.2,2024-08-17,90,False,12,0,0,0,0,1,0,51791,1,2,0,18.0,1,0,0,0,55,True,1,Omari Giraud-Hutchinson,274,3,0,0,0.1704888194799423,10,LIV,1360,1360,IPS,1070,1080,0.7791942,2.2,2.570232,10.2,0.7791942,2.2,2.570232,10.2,0.7791942,2.2,2.570232,10.2,0.7791942,2.2,2.570232,10.2,0.7791942,2.2,2.570232,10.2,0.7791942,2.2,2.570232,10.2,3.607090000000001,17.0,1.539951333333333,8.0,3.2785625,17.75,1.3534697499999997,7.25,2.99716,19.0,1.4609978,7.0,2.8076561538461537,16.53846153846154,1.1960133846153846,6.076923076923077,2.7049026250000003,15.1875,1.325449,6.25,2.8415301,15.1,1.2201552000000002,6.15,2024,MID
0,0,5,0,0.4,274,0.0,0.0,0.0,3.34,17,4,0,0.2,1.2,2024-08-24,88,False,13,0,0,0,0,2,0,52172,1,1,4,0.0,2,-3776,3013,6789,55,False,0,Omari Giraud-Hutchinson,274,0,0,0,0.0,10,MCI,1140,1300,IPS,1070,1080,0.342601,2.0,3.92906,13.0,0.342601,2.0,3.92906,13.0,0.342601,2.0,3.92906,13.0,0.342601,2.0,3.92906,13.0,0.342601,2.0,3.92906,13.0,0.342601,2.0,3.92906,13.0,2.066243333333334,10.666666666666666,1.048079666666667,4.333333333333333,2.3377275,11.25,0.8082158750000001,3.5,2.775266,12.8,0.7259501000000002,3.0,2.517805615384616,14.76923076923077,0.9835309615384614,3.769230769230769,2.4901639375,15.8125,1.00278878125,4.1875,2.39711315,15.3,0.991497675,4.05,2024,MID
0,0,18,0,6.0,274,0.0,0.07,0.0890741944313049,0.95,25,1,0,3.5,8.0,2024-08-31,90,False,9,0,0,0,0,3,0,50708,1,1,1,21.0,2,-3039,5198,8237,55,True,0,Omari Giraud-Hutchinson,274,2,0,0,0.0890741944313049,10,FUL,1140,1160,IPS,1070,1080,0.4113,1.5,3.50362,14.0,0.4113,1.5,3.50362,14.0,0.4113,1.5,3.50362,14.0,0.4113,1.5,3.50362,14.0,0.4113,1.5,3.50362,14.0,0.4113,1.5,3.50362,14.0,1.1656236666666666,5.0,1.655705,4.0,0.896373875,4.0,2.0298237500000003,6.25,1.0082571,3.8,1.7857348000000002,6.2,1.483267653846154,7.6923076923076925,1.6012418461538462,6.923076923076923,1.45093621875,7.6875,1.5938408750000002,7.375,1.466073825,7.7,1.6995312000000002,8.15,2024,MID
0,0,0,1,3.5,274,0.0,0.04,0.0861005932092666,1.41,33,0,0,1.5,4.4,2024-09-14,84,False,5,0,0,0,0,4,0,44439,1,0,0,7.0,2,-7115,2366,9481,54,False,1,Omari Giraud-Hutchinson,274,1,0,0,0.0861005932092666,10,BHA,1080,1140,IPS,1070,1080,0.5098826666666666,1.6666666666666667,2.7320233333333337,10.666666666666666,0.5098826666666666,1.6666666666666667,2.7320233333333337,10.666666666666666,0.5098826666666666,1.6666666666666667,2.7320233333333337,10.666666666666666,0.5098826666666666,1.6666666666666667,2.7320233333333337,10.666666666666666,0.5098826666666666,1.6666666666666667,2.7320233333333337,10.666666666666666,0.5098826666666666,1.6666666666666667,2.7320233333333337,10.666666666666666,1.916613333333333,7.0,1.3696216666666663,6.0,1.930385,7.75,1.2782262500000003,6.0,1.809154,8.4,1.331381,6.8,1.4236192307692308,7.076923076923077,1.7854999615384617,8.846153846153847,1.36545925,7.3125,1.59757678125,7.8125,1.4817629,7.35,1.6065489750000002,7.45,2024,MID
0,0,12,0,46.0,274,0.1682973206043243,0.24,0.0257753450423479,2.49,48,1,0,8.0,20.8,2024-09-21,90,False,17,0,0,0,0,5,0,43227,1,1,1,13.0,1,-1799,2207,4006,54,False,1,Omari Giraud-Hutchinson,274,1,3,0,0.0257753450423479,10,SOU,1060,1050,IPS,1070,1080,0.6361233333333334,1.3333333333333333,2.00799,10.333333333333334,0.56274275,1.5,2.4882575,11.0,0.56274275,1.5,2.4882575,11.0,0.56274275,1.5,2.4882575,11.0,0.56274275,1.5,2.4882575,11.0,0.56274275,1.5,2.4882575,11.0,1.0726706666666666,7.0,3.2514966666666667,13.666666666666666,1.2932105000000005,8.5,2.54699475,11.25,1.3024964,7.6,2.8382858000000004,13.0,1.139449153846154,5.6923076923076925,2.385537153846154,12.692307692307692,1.1256779375,5.9375,2.2478908125,11.125,1.07726785,5.25,2.0442476,10.95,2024,MID
1,1,22,0,12.6,274,0.5045092701911926,0.04,0.0330193787813186,0.82,56,2,0,4.3,21.0,2024-09-29,90,False,2,0,0,0,0,6,0,37535,1,2,2,9.0,6,-5717,694,6411,54,True,0,Omari Giraud-Hutchinson,274,1,1,0,0.0330193787813186,10,AVL,1160,1320,IPS,1070,1080,1.024457,2.6666666666666665,1.9479733333333336,7.666666666666667,0.8883425,2.25,2.230525,9.5,0.7791942000000001,2.2,2.570232,10.2,0.7791942000000001,2.2,2.570232,10.2,0.7791942000000001,2.2,2.570232,10.2,0.7791942000000001,2.2,2.570232,10.2,2.565373333333333,8.0,0.7156719999999996,3.333333333333333,2.25319,6.75,0.8902514999999998,5.0,2.336612,7.0,1.2731412,5.0,1.660061346153846,6.923076923076923,1.841289692307692,7.769230769230769,1.56296571875,7.1875,1.823824125,7.625,1.7400820749999997,7.45,1.8866933000000004,7.25,2024,MID
0,0,4,0,1.8,274,0.0,0.02,0.0,3.71,70,4,0,1.3,7.2,2024-10-05,82,False,19,0,0,0,0,7,0,38624,1,1,4,4.0,2,463,3775,3312,53,False,0,Omari Giraud-Hutchinson,274,0,0,0,0.0,10,WHU,1080,1100,IPS,1070,1080,1.4041343333333334,4.0,1.9333433333333327,8.0,1.22986275,3.5,1.7472150000000002,7.0,1.07989,3.0,2.013408,8.6,0.9570085,2.833333333333333,2.332683333333333,9.333333333333334,0.9570085,2.833333333333333,2.332683333333333,9.333333333333334,0.9570085,2.833333333333333,2.332683333333333,9.333333333333334,0.7732009999999997,9.333333333333334,1.8845006666666664,7.333333333333333,0.8167009999999996,8.25,2.211618,10.75,0.9602028,7.6,2.0445144,9.8,1.321819,5.230769230769231,2.421212923076923,10.923076923076923,1.3110431875,5.125,2.3494057500000003,12.3125,1.38095285,5.05,2.2799401,11.8,2024,MID
0,0,9,0,37.7,274,0.2401101887226104,0.21,0.1137515157461166,1.74,73,2,0,6.6,9.2,2024-10-19,90,False,8,0,0,0,0,8,0,39008,1,2,0,19.0,2,2,3084,3082,53,True,0,Omari Giraud-Hutchinson,274,2,3,0,0.1137515157461166,10,EVE,1150,1100,IPS,1070,1080,1.5585700000000002,5.666666666666667,2.8123633333333338,6.0,1.34925825,4.5,2.5485125,7.5,1.2208162000000002,4.0,2.276576,6.8,0.9895258571428572,3.2857142857142856,2.6271600000000004,8.857142857142858,0.9895258571428572,3.2857142857142856,2.6271600000000004,8.857142857142858,0.9895258571428572,3.2857142857142856,2.6271600000000004,8.857142857142858,1.2085246666666665,5.0,1.41733,9.0,1.119433,4.5,1.8526875,9.0,1.4068044,6.6,2.073526,8.6,1.1834733076923076,5.769230769230769,1.8011207692307694,9.153846153846152,1.1850779375,5.9375,1.86141125,9.0,1.2561916,6.6,1.895507,8.5,2024,MID
0,0,0,0,0.0,274,0.0,0.0,0.0,0.0,83,0,0,0.0,0.0,2024-10-26,0,False,4,0,0,0,0,9,0,36440,0,3,4,0.0,0,-2559,1055,3614,53,False,0,Omari Giraud-Hutchinson,274,0,0,0,0.0,10,BRE,1070,1090,IPS,1070,1080,1.4015699999999998,5.0,2.382333333333334,6.666666666666667,1.4624275,5.0,2.5112825,6.75,1.3142066,4.2,2.360418,7.8,1.012585125,3.25,2.4997700000000003,8.875,1.012585125,3.25,2.4997700000000003,8.875,1.012585125,3.25,2.4997700000000003,8.875,1.7993983333333332,6.333333333333333,1.1134736666666667,11.333333333333334,1.57294,6.0,1.80880775,12.75,1.4685400000000002,6.0,1.7576042,14.6,1.7091395384615384,7.0,1.7070676923076924,11.846153846153848,1.5720914375,6.6875,1.58835925,10.875,1.6388001,7.1,1.64235315,11.1,2024,MID
0,0,2,1,23.3,274,0.5708277821540833,0.63,0.138250470161438,0.39,93,0,0,6.1,2.2,2024-11-02,80,False,11,0,0,0,0,10,0,34130,1,1,1,35.0,3,-2564,1345,3909,53,True,0,Omari Giraud-Hutchinson,274,3,2,0,0.138250470161438,10,LEI,1080,1110,IPS,1070,1080,1.3385366666666665,5.0,3.3662300000000003,8.0,1.4654225,5.25,2.8109075,7.25,1.501338,5.2,2.828352,7.2,1.0841845555555556,3.555555555555556,2.6771988888888893,8.88888888888889,1.0841845555555556,3.555555555555556,2.6771988888888893,8.88888888888889,1.0841845555555556,3.555555555555556,2.6771988888888893,8.88888888888889,1.527579333333333,7.0,2.3074233333333334,7.0,1.23016175,6.25,3.2438300000000004,10.5,1.2517154,6.6,2.959818,9.6,1.2411943230769231,4.6923076923076925,2.289606307692308,10.846153846153848,1.5134760125000002,4.875,2.2340045,9.8125,1.38725286,4.7,2.1105676,9.55,2024,MID
