assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,6,0,0.4,397,0.0,0.0,0.0,0.55,7,1,0,0.4,3.2,2022-08-06 14:00:00+00:00,27,15,0,0,0,0,1,0,91393,0,0,2,0.0,1,0,0,0,60,False,0,4,Taiwo Awoniyi,16,NEW,1250,1165,NFO,1100,1105,1,2022
0,2,26,1,7.2,397,0.01,0.49,0.48,1.88,18,0,1,5.6,31.6,2022-08-14 13:00:00+00:00,71,19,0,0,0,0,2,0,78654,1,0,1,17.0,8,-17269,2544,19813,59,True,0,4,Taiwo Awoniyi,16,WHU,1150,1110,NFO,1065,1030,1,2022
0,0,7,1,14.0,397,0.03,0.08,0.05,0.51,23,0,0,4.4,7.2,2022-08-20 14:00:00+00:00,60,8,0,0,0,0,3,0,143709,1,1,1,23.0,2,48781,65054,16273,59,False,0,4,Taiwo Awoniyi,16,EVE,1070,1040,NFO,1100,1105,1,2022
0,0,3,0,10.5,397,0.01,0.01,0.0,0.84,38,1,0,1.2,1.4,2022-08-28 15:30:00+00:00,15,18,0,0,0,0,4,0,125203,0,2,0,0.0,1,-17503,10588,28091,59,True,0,4,Taiwo Awoniyi,16,TOT,1210,1230,NFO,1065,1030,1,2022
0,0,-1,0,0.8,397,0.0,0.15,0.15,1.25,49,2,0,0.6,1.6,2022-08-31 18:30:00+00:00,32,13,0,0,0,0,5,0,103136,0,0,6,4.0,1,-23250,3149,26399,59,False,0,4,Taiwo Awoniyi,16,MCI,1340,1360,NFO,1100,1105,1,2022
0,0,0,0,1.9,397,0.0,0.58,0.58,0.54,58,1,0,1.3,0.0,2022-09-03 14:00:00+00:00,23,3,0,0,0,0,6,0,83094,0,3,2,13.0,1,-21291,3611,24902,59,True,0,4,Taiwo Awoniyi,16,BOU,1110,1080,NFO,1065,1030,1,2022
0,1,24,0,0.7,397,0.0,0.81,0.81,0.51,78,3,1,7.8,37.4,2022-09-16 19:00:00+00:00,69,9,0,0,0,0,8,0,65952,1,3,2,40.0,7,-4703,788,5491,58,True,0,4,Taiwo Awoniyi,16,FUL,1065,1140,NFO,1065,1030,1,2022
0,0,-3,0,1.4,397,0.0,0.49,0.49,1.1,86,3,0,1.8,1.2,2022-10-03 19:00:00+00:00,61,10,0,0,0,0,9,0,70801,1,0,4,15.0,2,2303,8126,5823,58,False,0,4,Taiwo Awoniyi,16,LEI,1065,1200,NFO,1100,1105,1,2022
0,0,0,0,0.0,397,0.0,0.0,0.0,0.0,99,0,0,0.0,0.0,2022-10-10 19:00:00+00:00,0,2,0,0,0,0,10,0,70861,0,1,1,0.0,0,-293,7534,7827,58,True,0,4,Taiwo Awoniyi,16,AVL,1075,1130,NFO,1065,1030,1,2022
0,0,3,0,0.0,397,0.0,0.0,0.0,0.0,110,0,0,0.0,0.2,2022-10-15 14:00:00+00:00,6,20,0,0,0,0,11,0,65902,0,0,1,0.0,1,-4987,1773,6760,58,False,0,4,Taiwo Awoniyi,16,WOL,1100,1060,NFO,1100,1105,1,2022
0,0,3,0,0.0,397,0.0,0.0,0.0,0.08,114,0,0,0.2,0.0,2022-10-18 18:30:00+00:00,4,5,0,0,0,0,12,0,60512,0,0,0,2.0,1,-4238,809,5047,57,False,0,4,Taiwo Awoniyi,16,BHA,1140,1200,NFO,1100,1105,1,2022
0,3,34,1,32.1,397,0.1,0.88,0.78,1.09,126,0,1,12.9,40.6,2022-10-22 11:30:00+00:00,63,12,0,0,0,0,13,0,57924,1,0,1,56.0,9,-4328,658,4986,57,True,0,4,Taiwo Awoniyi,16,LIV,1250,1300,NFO,1065,1030,1,2022
0,0,2,0,0.5,397,0.0,0.0,0.0,1.85,131,4,0,0.2,0.0,2022-10-30 14:00:00+00:00,63,1,0,0,0,0,14,0,65146,1,0,5,2.0,2,6192,9540,3348,57,False,0,4,Taiwo Awoniyi,16,ARS,1250,1240,NFO,1100,1105,1,2022
0,0,-1,0,0.0,397,0.0,0.25,0.25,0.07,146,0,0,0.2,0.0,2022-11-05 15:00:00+00:00,11,4,0,0,0,0,15,0,88252,0,2,2,4.0,1,21425,27448,6023,57,True,0,4,Taiwo Awoniyi,16,BRE,1160,1200,NFO,1065,1030,1,2022
0,0,0,0,0.0,397,0.0,0.0,0.0,0.0,157,0,0,0.0,0.0,2022-11-12 15:00:00+00:00,0,7,0,0,0,0,16,0,83366,0,0,1,0.0,0,-4380,9276,13656,57,True,0,4,Taiwo Awoniyi,16,CRY,1110,1090,NFO,1065,1030,1,2022
0,0,4,0,0.8,397,0.0,0.0,0.0,1.37,169,2,0,0.3,2.0,2022-12-27 20:00:00+00:00,61,14,0,0,0,0,17,0,69967,1,0,3,0.0,2,-13822,8386,22208,57,False,0,4,Taiwo Awoniyi,16,MUN,1140,1165,NFO,1100,1105,1,2022
0,0,9,0,21.8,397,0.06,0.3,0.24,0.94,177,1,0,6.6,17.4,2023-01-01 16:30:00+00:00,87,6,0,0,0,0,18,0,67005,1,1,1,27.0,2,-3162,1512,4674,57,True,0,4,Taiwo Awoniyi,16,CHE,1220,1220,NFO,1065,1030,1,2022
0,3,35,1,11.9,397,0.02,0.73,0.71,0.27,190,0,1,6.9,37.0,2023-01-04 19:30:00+00:00,70,17,0,0,0,0,19,0,66993,1,1,0,20.0,9,-172,2990,3162,57,False,0,4,Taiwo Awoniyi,16,SOU,1070,1060,NFO,1100,1105,1,2022
0,0,0,0,0.0,397,0.0,0.0,0.0,0.0,198,0,0,0.0,0.0,2023-01-14 15:00:00+00:00,0,10,0,0,0,0,20,0,69827,0,0,2,0.0,0,2324,8355,6031,57,True,0,4,Taiwo Awoniyi,16,LEI,1110,1120,NFO,1065,1030,1,2022
0,0,0,0,0.0,397,0.0,0.0,0.0,0.0,202,0,0,0.0,0.0,2023-01-21 15:00:00+00:00,0,3,0,0,0,0,21,0,61882,0,1,1,0.0,0,-7846,523,8369,57,False,0,4,Taiwo Awoniyi,16,BOU,1020,1050,NFO,1100,1105,1,2022
0,0,0,0,0.0,397,0.0,0.0,0.0,0.0,218,0,0,0.0,0.0,2023-02-05 14:00:00+00:00,0,11,0,0,0,0,22,0,55573,0,0,1,0.0,0,-6310,147,6457,56,True,0,4,Taiwo Awoniyi,16,LEE,1075,1120,NFO,1065,1030,1,2022
0,0,0,0,0.0,397,0.0,0.0,0.0,0.0,224,0,0,0.0,0.0,2023-02-11 15:00:00+00:00,0,9,0,0,0,0,23,0,52996,0,0,2,0.0,0,-2718,117,2835,56,False,0,4,Taiwo Awoniyi,16,FUL,1070,1120,NFO,1100,1105,1,2022
0,0,0,0,0.0,397,0.0,0.0,0.0,0.0,238,0,0,0.0,0.0,2023-02-18 15:00:00+00:00,0,13,0,0,0,0,24,0,50862,0,1,1,0.0,0,-2193,57,2250,56,True,0,4,Taiwo Awoniyi,16,MCI,1340,1380,NFO,1065,1030,1,2022
0,0,0,0,0.0,397,0.0,0.0,0.0,0.0,250,0,0,0.0,0.0,2023-02-25 15:00:00+00:00,0,19,0,0,0,0,25,0,49159,0,0,4,0.0,0,-1528,44,1572,56,False,0,4,Taiwo Awoniyi,16,WHU,1145,1060,NFO,1100,1105,1,2022
0,0,0,0,0.0,397,0.0,0.0,0.0,0.0,258,0,0,0.0,0.0,2023-03-05 14:00:00+00:00,0,8,0,0,0,0,26,0,48297,0,2,2,0.0,0,-1098,36,1134,56,True,0,4,Taiwo Awoniyi,16,EVE,1100,1090,NFO,1065,1030,1,2022
0,0,0,0,0.0,397,0.0,0.0,0.0,0.0,269,0,0,0.0,0.0,2023-03-11 15:00:00+00:00,0,18,0,0,0,0,27,0,47421,0,1,3,0.0,0,-877,69,946,56,False,0,4,Taiwo Awoniyi,16,TOT,1140,1170,NFO,1100,1105,1,2022
0,0,0,0,0.0,397,0.0,0.0,0.0,0.0,278,0,0,0.0,0.0,2023-03-17 20:00:00+00:00,0,15,0,0,0,0,28,0,46898,0,2,1,0.0,0,-496,70,566,56,True,0,4,Taiwo Awoniyi,16,NEW,1300,1220,NFO,1065,1030,1,2022
0,0,3,0,0.3,397,0.0,0.0,0.0,0.0,289,0,0,0.4,0.0,2023-04-01 14:00:00+00:00,4,20,0,0,0,0,29,0,46612,0,1,1,4.0,1,-353,203,556,56,True,0,4,Taiwo Awoniyi,16,WOL,1100,1080,NFO,1065,1030,1,2022
0,0,2,0,0.4,397,0.0,0.0,0.0,0.49,65,0,0,0.2,0.0,2023-04-04 18:45:00+00:00,34,11,0,0,0,0,29,0,46612,0,1,2,2.0,1,-353,203,556,56,False,0,4,Taiwo Awoniyi,16,LEE,1070,1130,NFO,1100,1105,1,2022
0,0,-4,0,0.3,397,0.0,0.0,0.0,0.58,291,1,0,0.0,0.0,2023-04-08 14:00:00+00:00,25,2,0,0,0,0,30,0,46844,0,0,2,2.0,0,175,507,332,56,False,1,4,Taiwo Awoniyi,16,AVL,1070,1070,NFO,1100,1105,1,2022
0,0,4,0,1.6,397,0.0,0.41,0.41,2.21,306,1,0,1.8,3.2,2023-04-16 15:30:00+00:00,64,14,0,0,0,0,31,0,46510,1,2,0,13.0,2,-342,175,517,56,True,0,4,Taiwo Awoniyi,16,MUN,1220,1220,NFO,1065,1030,1,2022
0,0,0,0,0.7,397,0.01,0.36,0.35,2.6,318,3,0,2.0,2.4,2023-04-22 14:00:00+00:00,86,12,0,0,0,0,32,0,46576,1,2,3,17.0,2,-4,302,306,56,False,0,4,Taiwo Awoniyi,16,LIV,1180,1260,NFO,1100,1105,1,2022
1,0,12,0,17.3,397,0.03,0.26,0.23,1.8,324,1,0,6.3,21.8,2023-04-26 18:30:00+00:00,80,5,0,0,0,0,33,0,47320,1,1,3,24.0,5,717,978,261,56,True,0,4,Taiwo Awoniyi,16,BHA,1150,1200,NFO,1065,1030,1,2022
