assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds
0,0,0,0,0.0,677,0.0,0.0,0.0,0.0,172,0,0,0.0,0.0,2022-12-31 17:30:00+00:00,0,1,0,0,0,0,18,0,0,0,4,2,0.0,0,0,0,0,45,True,0,3,Jack Hinshelwood,5,ARS,1250,1320,BHA,1140,1200,1
0,0,0,0,0.0,677,0.0,0.0,0.0,0.0,186,0,0,0.0,0.0,2023-01-03 19:45:00+00:00,0,8,0,0,0,0,19,0,17,0,4,1,0.0,0,10,10,0,45,False,0,3,Jack Hinshelwood,5,EVE,1070,1040,BHA,1150,1200,1
0,0,0,0,0.0,677,0.0,0.0,0.0,0.0,193,0,0,0.0,0.0,2023-01-14 15:00:00+00:00,0,12,0,0,0,0,20,0,57,0,0,3,0.0,0,22,34,12,45,True,0,3,Jack Hinshelwood,5,LIV,1250,1300,BHA,1140,1200,1
0,0,0,0,0.0,677,0.0,0.0,0.0,0.0,206,0,0,0.0,0.0,2023-01-21 15:00:00+00:00,0,10,0,0,0,0,21,0,70,0,2,2,0.0,0,5,20,15,45,False,0,3,Jack Hinshelwood,5,LEI,1065,1200,BHA,1150,1200,1
0,0,0,0,0.0,677,0.0,0.0,0.0,0.0,213,0,0,0.0,0.0,2023-02-04 15:00:00+00:00,0,3,0,0,0,0,22,0,104,0,0,1,0.0,0,11,29,18,45,True,0,3,Jack Hinshelwood,5,BOU,1110,1080,BHA,1140,1200,1
0,0,0,0,0.0,677,0.0,0.0,0.0,0.0,223,0,0,0.0,0.0,2023-02-11 15:00:00+00:00,0,7,0,0,0,0,23,0,133,0,1,1,0.0,0,13,23,10,45,False,0,3,Jack Hinshelwood,5,CRY,1110,1060,BHA,1150,1200,1
0,0,0,0,0.0,677,0.0,0.0,0.0,0.0,233,0,0,0.0,0.0,2023-02-18 15:00:00+00:00,0,9,0,0,0,0,24,0,142,0,1,0,0.0,0,3,19,16,45,True,0,3,Jack Hinshelwood,5,FUL,1065,1140,BHA,1140,1200,1
0,0,0,0,0.0,677,0.0,0.0,0.0,0.0,254,0,0,0.0,0.0,2023-03-04 15:00:00+00:00,0,19,0,0,0,0,26,0,165,0,0,4,0.0,0,8,18,10,45,True,0,3,Jack Hinshelwood,5,WHU,1150,1110,BHA,1140,1200,1
0,0,0,0,0.0,677,0.0,0.0,0.0,0.0,265,0,0,0.0,0.0,2023-03-11 15:00:00+00:00,0,11,0,0,0,0,27,0,181,0,2,2,0.0,0,2,21,19,45,False,0,3,Jack Hinshelwood,5,LEE,1070,1130,BHA,1150,1200,1
0,0,0,0,0.0,677,0.0,0.0,0.0,0.0,73,0,0,0.0,0.0,2023-03-15 19:30:00+00:00,0,7,0,0,0,0,27,0,181,0,0,1,0.0,0,2,21,19,45,True,0,3,Jack Hinshelwood,5,CRY,1110,1090,BHA,1140,1200,1
