assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,19,0,22.5,162,0.3410254120826721,0.09,0.0478998906910419,1.28,9,1,0,4.7,17.8,2023-08-13,90,12,0,0,0,0,1,0,249349,1,1,1,7.0,2,0,0,0,45,True,0,1,2,0,0.0478998906910419,2,Levi Colwill,6,LIV,1350,1390,CHE,1080,1170,2023,0.0478998906910419,,1.93258,11.0,1.93258,1.29994,9.0,1.29994
0,0,10,0,5.0,162,0.0,0.15,0.0560822337865829,1.8,19,3,0,2.3,7.4,2023-08-20,90,19,0,0,0,0,2,0,340133,1,1,3,11.0,1,59841,77309,17468,45,False,0,2,0,0,0.0560822337865829,2,Levi Colwill,6,WHU,1055,1150,CHE,1150,1230,2023,0.0560822337865829,,1.60916,9.0,0.847993,1.71234,3.0,0.951168
0,0,26,1,14.4,162,0.0574854984879493,0.26,0.0555191002786159,0.43,26,0,0,3.7,17.4,2023-08-25,90,22,0,0,0,0,3,0,384501,1,0,3,5.0,6,36683,67085,30402,45,True,0,1,1,0,0.0555191002786159,2,Levi Colwill,6,LUT,1060,1120,CHE,1080,1170,2023,0.0555191002786159,,3.41419,17.0,3.41419,0.465741,4.0,0.465741
0,0,12,0,2.6,162,0.0,0.04,0.0,0.71,35,1,0,1.2,7.4,2023-09-02,90,16,0,0,0,0,4,0,395606,1,1,0,2.0,2,4943,37019,32076,45,True,0,0,0,0,0.0,2,Levi Colwill,6,NFO,1125,1080,CHE,1080,1170,2023,0.0,,2.28442,18.0,2.28442,1.1505,2.0,1.1505
0,0,21,1,1.1,162,0.0,0.52,0.2764377892017364,1.1,42,0,0,8.4,14.6,2023-09-17,79,3,0,0,0,0,5,0,390119,1,0,0,68.0,6,-12221,24374,36595,45,False,0,2,0,0,0.2764377892017364,2,Levi Colwill,6,BOU,1055,1145,CHE,1150,1230,2023,0.2764377892017364,,1.39677,17.0,1.39677,1.32515,9.0,1.32515
0,0,18,0,0.6,162,0.0,0.0,0.0,1.04,55,1,0,2.5,24.8,2023-09-24,90,2,0,0,0,0,6,0,392056,1,1,0,0.0,2,-821,24865,25686,45,True,0,0,0,0,0.0,2,Levi Colwill,6,AVL,1220,1350,CHE,1080,1170,2023,0.0,,1.19716,8.0,1.19716,1.13479,6.0,1.13479
1,3,38,1,11.3,162,0.3081309795379638,0.06,0.0,1.08,64,0,0,4.8,34.4,2023-10-02,90,9,0,0,0,0,7,0,401224,1,2,0,2.0,12,6171,39963,33792,45,False,0,0,1,0,0.0,2,Levi Colwill,6,FUL,1050,1060,CHE,1150,1230,2023,0.0,,1.98461,8.0,1.98461,0.889383,7.0,0.889383
0,0,20,0,3.4,162,0.0,0.01,0.0,0.75,73,1,0,1.9,13.4,2023-10-07,90,21,0,0,0,0,8,0,658033,1,4,1,2.0,2,220817,267884,47067,46,False,0,0,0,0,0.0,2,Levi Colwill,6,BUR,1050,1040,CHE,1150,1230,2023,0.0,,1.97566,10.0,1.2145,0.956642,3.0,0.956642
0,0,15,0,0.4,162,0.0,0.01,0.0,1.06,84,2,0,2.5,25.0,2023-10-21,90,1,0,0,0,0,9,0,613410,1,2,2,0.0,1,-19274,45499,64773,46,True,0,0,0,0,0.0,2,Levi Colwill,6,ARS,1370,1360,CHE,1080,1170,2023,0.0,,1.71838,8.0,0.957211,1.05791,5.0,1.05791
0,0,17,0,4.8,162,0.0,0.03,0.0,2.16,95,2,0,2.3,16.0,2023-10-28,90,4,0,0,0,0,10,0,611423,1,2,0,2.0,1,-5393,46193,51586,46,True,0,0,0,0,0.0,2,Levi Colwill,6,BRE,1055,1150,CHE,1080,1170,2023,0.0,,1.71801,16.0,1.71801,2.48137,6.0,2.48137
0,0,2,0,0.4,162,0.0,0.0,0.0,0.15,110,1,0,0.6,3.8,2023-11-06,45,18,0,0,0,0,11,0,546185,1,4,1,2.0,0,-63663,11567,75230,46,False,1,0,0,0,0.0,2,Levi Colwill,6,TOT,1110,1230,CHE,1150,1230,2023,0.0,,4.05865,8.0,3.29749,0.959108,4.0,0.959108
0,0,0,0,0.0,162,0.0,0.0,0.0,0.0,115,0,0,0.0,0.0,2023-11-12,0,13,0,0,0,0,12,0,521212,0,4,4,0.0,0,-25760,12310,38070,46,True,0,0,0,0,0.0,2,Levi Colwill,6,MCI,1360,1370,CHE,1080,1170,2023,0.0,,3.47238,4.0,2.71121,3.19324,17.0,2.43208
