assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order
1,3,41,1,24.8,148,0.1216224357485771,0.24,0.2158164530992508,0.45,3,0,1,11.1,61.4,2024-08-17,90,8,0,0,0,0,1,0,64656,1,3,0,25.0,12,0,0,0,55,False,0,2,2,1,0.2158164530992508,4,Danny Welbeck,5,EVE,1080,1080,BHA,1130,1220,2024,0.2158164530992508,3.0
0,3,38,0,23.7,148,0.138381540775299,1.13,1.1440701484680176,1.32,13,1,1,12.4,40.8,2024-08-24,78,14,0,0,0,0,2,0,412889,1,1,2,59.0,9,220120,251535,31415,55,True,0,3,2,1,1.1440701484680176,4,Danny Welbeck,5,MUN,1140,1170,BHA,1070,1130,2024,1.1440701484680176,3.0
0,0,3,0,2.8,148,0.0,0.11,0.0426068231463432,2.08,21,1,0,0.9,0.4,2024-08-31,84,1,0,0,0,0,3,0,1172309,1,1,1,6.0,2,650297,768178,117881,56,False,0,1,0,0,0.0426068231463432,4,Danny Welbeck,5,ARS,1360,1340,BHA,1130,1220,2024,0.0426068231463432,3.0
0,0,5,1,5.5,148,0.0,0.31,0.1993384510278701,0.35,33,0,0,5.7,2.4,2024-09-14,84,10,0,0,0,0,4,0,1813240,1,0,0,49.0,2,573565,740161,166596,57,True,0,4,0,0,0.1993384510278701,4,Danny Welbeck,5,IPS,1080,1100,BHA,1070,1130,2024,0.1993384510278701,3.0
0,1,28,0,16.0,148,0.0561207681894302,0.43,0.7508222460746765,1.53,42,2,1,9.5,40.4,2024-09-22,90,16,0,0,0,0,5,0,1985030,1,2,2,39.0,6,171336,304848,133512,58,True,1,3,1,1,0.7508222460746765,4,Danny Welbeck,5,NFO,1130,1070,BHA,1070,1130,2024,0.7508222460746765,3.0
0,0,4,0,13.9,148,0.056236982345581,0.42,0.4214482009410858,4.09,54,4,0,4.9,6.0,2024-09-28,80,6,0,0,0,0,6,0,2030279,1,2,4,29.0,2,44414,272300,227886,58,False,0,3,1,0,0.4214482009410858,4,Danny Welbeck,5,CHE,1130,1320,BHA,1130,1220,2024,0.4214482009410858,3.0
0,2,31,0,25.2,148,0.1445147544145584,1.15,0.940462589263916,1.37,64,2,1,10.3,35.0,2024-10-06,90,18,0,0,0,0,7,0,2049570,1,2,3,43.0,8,8107,206636,198529,58,True,0,3,2,1,0.940462589263916,4,Danny Welbeck,5,TOT,1170,1350,BHA,1070,1130,2024,0.940462589263916,3.0
0,3,39,1,4.0,148,0.0,0.43,0.5487236976623535,1.94,76,0,1,6.6,38.0,2024-10-19,80,15,0,0,0,0,8,0,2144544,1,1,0,24.0,9,76029,194961,118932,58,False,0,2,0,1,0.5487236976623535,4,Danny Welbeck,5,NEW,1100,1130,BHA,1130,1220,2024,0.5487236976623535,3.0
0,1,27,1,12.1,148,0.0827455148100853,0.64,0.5094478130340576,0.65,84,0,1,8.1,30.4,2024-10-26,72,20,0,0,0,0,9,0,2066673,1,2,2,38.0,7,-75876,108916,184792,59,True,0,4,1,1,0.5094478130340576,4,Danny Welbeck,5,WOL,1060,1120,BHA,1070,1130,2024,0.5094478130340576,3.0
1,0,17,0,16.0,148,0.0506795309484005,0.28,0.277868777513504,1.65,94,2,0,5.8,21.4,2024-11-02,90,12,0,0,0,0,10,0,2101247,1,1,2,21.0,5,19258,158026,138768,59,False,0,4,1,0,0.277868777513504,4,Danny Welbeck,5,LIV,1360,1340,BHA,1130,1220,2024,0.277868777513504,3.0
0,0,2,0,2.6,148,0.0,0.31,0.4235636293888092,2.22,102,1,0,1.7,2.4,2024-11-09,90,13,0,0,0,0,11,0,2220379,1,1,2,12.0,2,111290,192127,80837,59,True,0,2,0,0,0.4235636293888092,4,Danny Welbeck,5,MCI,1350,1390,BHA,1070,1130,2024,0.4235636293888092,3.0
0,0,8,1,25.4,148,0.0670252665877342,0.03,0.0,1.12,113,0,0,4.0,12.2,2024-11-23,85,3,0,0,0,0,12,0,2402653,1,2,1,2.0,2,164468,262300,97832,60,False,0,0,2,0,0.0,4,Danny Welbeck,5,BOU,1070,1130,BHA,1130,1220,2024,0.0,3.0
0,0,-1,0,1.3,148,0.0,0.25,0.3249858319759369,0.96,122,1,0,1.7,1.0,2024-11-29,78,17,0,0,0,0,13,0,2312448,1,1,1,15.0,2,-87427,102843,190270,60,True,0,2,0,0,0.3249858319759369,4,Danny Welbeck,5,SOU,1070,1060,BHA,1070,1130,2024,0.3249858319759369,3.0
0,0,0,0,0.0,148,0.0,0.0,0.0,0.0,135,0,0,0.0,0.0,2024-12-05,0,9,0,0,0,0,14,0,2178887,0,1,3,0.0,0,-134525,56591,191116,59,False,0,0,0,0,0.0,4,Danny Welbeck,5,FUL,1100,1100,BHA,1130,1220,2024,0.0,3.0
