assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,1231,201,0,0,0.0,0.0,2022-01-01 12:30:00+00:00,0,12,0,0,0,0,21,0,4763,2,1,0.0,0,-187,28,215,52,True,0,3,Ainsley Maitland-Niles,1,MCI,1360,1360,ARS,1150,1190,1,2021
0,0,0,0,0.0,1231,221,0,0,0.0,0.0,2022-01-23 14:00:00+00:00,0,5,0,0,0,0,23,0,4526,0,0,0.0,0,-179,0,179,52,True,0,3,Ainsley Maitland-Niles,1,BUR,1130,1100,ARS,1150,1190,1,2021
0,0,0,0,0.0,1231,236,0,0,0.0,0.0,2022-02-10 19:45:00+00:00,0,20,0,0,0,0,24,0,4406,1,0,0.0,0,-126,0,126,52,False,0,3,Ainsley Maitland-Niles,1,WOL,1150,1080,ARS,1210,1220,1,2021
0,0,0,0,0.0,1231,251,0,0,0.0,0.0,2022-02-19 15:00:00+00:00,0,3,0,0,0,0,26,0,4319,1,2,0.0,0,-44,0,44,52,True,0,3,Ainsley Maitland-Niles,1,BRE,1150,1120,ARS,1150,1190,1,2021
0,0,0,0,0.0,1231,191,0,0,0.0,0.0,2022-02-24 19:45:00+00:00,0,20,0,0,0,0,26,0,4319,1,2,0.0,0,-44,0,44,52,True,0,3,Ainsley Maitland-Niles,1,WOL,1160,1100,ARS,1150,1190,1,2021
0,0,0,0,0.0,1231,279,0,0,0.0,0.0,2022-03-06 14:00:00+00:00,0,18,0,0,0,0,28,0,4240,3,2,0.0,0,-42,0,42,52,False,0,3,Ainsley Maitland-Niles,1,WAT,1090,1120,ARS,1210,1220,1,2021
0,0,0,0,0.0,1231,281,0,0,0.0,0.0,2022-03-13 16:30:00+00:00,0,9,0,0,0,0,29,0,4203,0,2,0.0,0,-39,0,39,52,True,0,3,Ainsley Maitland-Niles,1,LEI,1080,1160,ARS,1150,1190,1,2021
0,0,0,0,0.0,1231,261,0,0,0.0,0.0,2022-03-16 20:15:00+00:00,0,11,0,0,0,0,29,0,4203,2,0,0.0,0,-39,0,39,52,True,0,3,Ainsley Maitland-Niles,1,LIV,1350,1350,ARS,1150,1190,1,2021
0,0,0,0,0.0,1231,291,0,0,0.0,0.0,2022-03-19 12:30:00+00:00,0,2,0,0,0,0,30,0,4172,1,0,0.0,0,-26,0,26,52,False,0,3,Ainsley Maitland-Niles,1,AVL,1140,1090,ARS,1210,1220,1,2021
0,0,0,0,0.0,1231,304,0,0,0.0,0.0,2022-04-04 19:00:00+00:00,0,7,0,0,0,0,31,0,4156,0,3,0.0,0,-23,0,23,52,False,0,3,Ainsley Maitland-Niles,1,CRY,1110,1080,ARS,1210,1220,1,2021
0,0,0,0,0.0,1231,311,0,0,0.0,0.0,2022-04-09 14:00:00+00:00,0,4,0,0,0,0,32,0,4144,2,1,0.0,0,-12,0,12,52,True,0,3,Ainsley Maitland-Niles,1,BHA,1160,1120,ARS,1150,1190,1,2021
0,0,0,0,0.0,1231,326,0,0,0.0,0.0,2022-04-16 14:00:00+00:00,0,16,0,0,0,0,33,0,4123,0,1,0.0,0,-19,0,19,52,False,0,3,Ainsley Maitland-Niles,1,SOU,1090,1120,ARS,1210,1220,1,2021
0,0,0,0,0.0,1231,243,0,0,0.0,0.0,2022-04-20 18:45:00+00:00,0,6,0,0,0,0,33,0,4123,4,2,0.0,0,-19,0,19,52,False,0,3,Ainsley Maitland-Niles,1,CHE,1300,1250,ARS,1210,1220,1,2021
0,0,0,0,0.0,1231,331,0,0,0.0,0.0,2022-04-23 11:30:00+00:00,0,13,0,0,0,0,34,0,4109,1,3,0.0,0,-17,0,17,52,True,0,3,Ainsley Maitland-Niles,1,MUN,1190,1200,ARS,1150,1190,1,2021
0,0,0,0,0.0,1231,349,0,0,0.0,0.0,2022-05-01 15:30:00+00:00,0,19,0,0,0,0,35,0,4092,2,1,0.0,0,-15,0,15,52,False,0,3,Ainsley Maitland-Niles,1,WHU,1110,1160,ARS,1210,1220,1,2021
0,0,0,0,0.0,1231,351,0,0,0.0,0.0,2022-05-08 13:00:00+00:00,0,10,0,0,0,0,36,0,4082,1,2,0.0,0,-11,0,11,52,True,0,3,Ainsley Maitland-Niles,1,LEE,1070,1100,ARS,1150,1190,1,2021
0,0,0,0,0.0,1231,218,0,0,0.0,0.0,2022-05-12 18:45:00+00:00,0,17,0,0,0,0,36,0,4082,0,3,0.0,0,-11,0,11,52,False,0,3,Ainsley Maitland-Niles,1,TOT,1190,1210,ARS,1210,1220,1,2021
0,0,0,0,0.0,1231,365,0,0,0.0,0.0,2022-05-16 19:00:00+00:00,0,14,0,0,0,0,37,0,4074,0,2,0.0,0,-11,0,11,52,False,0,3,Ainsley Maitland-Niles,1,NEW,1050,1040,ARS,1210,1220,1,2021
0,0,0,0,0.0,1231,371,0,0,0.0,0.0,2022-05-22 15:00:00+00:00,0,8,0,0,0,0,38,0,4066,1,5,0.0,0,-6,0,6,52,True,0,3,Ainsley Maitland-Niles,1,EVE,1090,1110,ARS,1150,1190,1,2021
