assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,gameweek,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2023-08-14 19:00:00+00:00,0,14,0,0,0,0,1,0,12517,0,0,1,0.0,0,0,0,0,55,False,0,3,Daniel Castelo Podence,20,1,MUN,1130,1120,WOL,1105,1100,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,20,0,0,0.0,0.0,2023-08-19 14:00:00+00:00,0,5,0,0,0,0,2,0,12256,0,4,1,0.0,0,-1988,405,2393,55,True,0,3,Daniel Castelo Podence,20,2,BHA,1180,1240,WOL,1085,1115,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,2023-08-26 14:00:00+00:00,0,9,0,0,0,0,3,0,10318,0,1,0,0.0,0,-2319,198,2517,54,False,0,3,Daniel Castelo Podence,20,3,EVE,1125,1065,WOL,1105,1100,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,36,0,0,0.0,0.0,2023-09-03 13:00:00+00:00,0,8,0,0,0,0,4,0,9100,0,2,3,0.0,0,-1483,136,1619,54,False,0,3,Daniel Castelo Podence,20,4,CRY,1080,1060,WOL,1105,1100,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,50,0,0,0.0,0.0,2023-09-16 11:30:00+00:00,0,11,0,0,0,0,5,0,7243,0,3,1,0.0,0,-1970,129,2099,53,True,0,3,Daniel Castelo Podence,20,5,LIV,1350,1390,WOL,1085,1115,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,58,0,0,0.0,0.0,2023-09-23 14:00:00+00:00,0,12,0,0,0,0,6,0,6156,0,1,1,0.0,0,-1125,0,1125,53,False,0,3,Daniel Castelo Podence,20,6,LUT,1020,1090,WOL,1105,1100,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2023-09-30 14:00:00+00:00,0,13,0,0,0,0,7,0,5519,0,1,2,0.0,0,-647,0,647,53,True,0,3,Daniel Castelo Podence,20,7,MCI,1360,1370,WOL,1085,1115,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,80,0,0,0.0,0.0,2023-10-08 13:00:00+00:00,0,2,0,0,0,0,8,0,5166,0,1,1,0.0,0,-353,0,353,53,True,0,3,Daniel Castelo Podence,20,8,AVL,1220,1350,WOL,1085,1115,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,82,0,0,0.0,0.0,2023-10-21 14:00:00+00:00,0,3,0,0,0,0,9,0,4964,0,2,1,0.0,0,-216,0,216,53,False,0,3,Daniel Castelo Podence,20,9,BOU,1055,1145,WOL,1105,1100,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,100,0,0,0.0,0.0,2023-10-28 16:30:00+00:00,0,15,0,0,0,0,10,0,4836,0,2,2,0.0,0,-133,0,133,53,True,0,3,Daniel Castelo Podence,20,10,NEW,1210,1355,WOL,1085,1115,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,109,0,0,0.0,0.0,2023-11-04 15:00:00+00:00,0,17,0,0,0,0,11,0,4698,0,1,2,0.0,0,-139,0,139,53,False,0,3,Daniel Castelo Podence,20,11,SHU,1045,1020,WOL,1105,1100,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,120,0,0,0.0,0.0,2023-11-11 12:30:00+00:00,0,18,0,0,0,0,12,0,4618,0,1,2,0.0,0,-81,0,81,53,True,0,3,Daniel Castelo Podence,20,12,TOT,1150,1310,WOL,1085,1115,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,124,0,0,0.0,0.0,2023-11-27 20:00:00+00:00,0,10,0,0,0,0,13,0,4532,0,2,3,0.0,0,-87,0,87,53,False,0,3,Daniel Castelo Podence,20,13,FUL,1050,1060,WOL,1105,1100,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,131,0,0,0.0,0.0,2023-12-02 15:00:00+00:00,0,1,0,0,0,0,14,0,4485,0,1,2,0.0,0,-47,0,47,53,False,0,3,Daniel Castelo Podence,20,14,ARS,1370,1330,WOL,1105,1100,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,149,0,0,0.0,0.0,2023-12-05 19:30:00+00:00,0,6,0,0,0,0,15,0,4464,0,0,1,0.0,0,-22,0,22,53,True,0,3,Daniel Castelo Podence,20,15,BUR,1050,1050,WOL,1085,1115,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,160,0,0,0.0,0.0,2023-12-09 15:00:00+00:00,0,16,0,0,0,0,16,0,4433,0,1,1,0.0,0,-31,0,31,53,True,0,3,Daniel Castelo Podence,20,16,NFO,1125,1080,WOL,1085,1115,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,170,0,0,0.0,0.0,2023-12-17 14:00:00+00:00,0,19,0,0,0,0,17,0,4389,0,0,3,0.0,0,-43,0,43,53,False,0,3,Daniel Castelo Podence,20,17,WHU,1055,1150,WOL,1105,1100,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,180,0,0,0.0,0.0,2023-12-24 13:00:00+00:00,0,7,0,0,0,0,18,0,4368,0,1,2,0.0,0,-23,0,23,53,True,0,3,Daniel Castelo Podence,20,18,CHE,1150,1230,WOL,1085,1115,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,183,0,0,0.0,0.0,2023-12-27 19:30:00+00:00,0,4,0,0,0,0,19,0,4347,0,4,1,0.0,0,-21,0,21,53,False,0,3,Daniel Castelo Podence,20,19,BRE,1110,1090,WOL,1105,1100,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,200,0,0,0.0,0.0,2023-12-30 15:00:00+00:00,0,9,0,0,0,0,20,0,4319,0,0,3,0.0,0,-29,0,29,53,True,0,3,Daniel Castelo Podence,20,20,EVE,1125,1080,WOL,1085,1115,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,204,0,0,0.0,0.0,2024-01-22 19:45:00+00:00,0,5,0,0,0,0,21,0,4282,0,0,0,0.0,0,-34,0,34,53,False,0,3,Daniel Castelo Podence,20,21,BHA,1070,1135,WOL,1105,1100,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,218,0,0,0.0,0.0,2024-02-01 20:15:00+00:00,0,14,0,0,0,0,22,0,4261,0,4,3,0.0,0,-23,0,23,53,True,0,3,Daniel Castelo Podence,20,22,MUN,1210,1230,WOL,1085,1115,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,226,0,0,0.0,0.0,2024-02-04 14:00:00+00:00,0,7,0,0,0,0,23,0,4249,0,4,2,0.0,0,-12,0,12,53,False,0,3,Daniel Castelo Podence,20,23,CHE,1080,1170,WOL,1105,1100,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,240,0,0,0.0,0.0,2024-02-10 15:00:00+00:00,0,4,0,0,0,0,24,0,4234,0,2,0,0.0,0,-14,0,14,53,True,0,3,Daniel Castelo Podence,20,24,BRE,1055,1150,WOL,1085,1115,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,250,0,0,0.0,0.0,2024-02-17 15:00:00+00:00,0,18,0,0,0,0,25,0,4210,0,2,1,0.0,0,-23,0,23,53,False,0,3,Daniel Castelo Podence,20,25,TOT,1110,1230,WOL,1105,1100,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,260,0,0,0.0,0.0,2024-02-25 13:30:00+00:00,0,17,0,0,0,0,26,0,4201,0,0,1,0.0,0,-13,0,13,53,True,0,3,Daniel Castelo Podence,20,26,SHU,1020,1060,WOL,1085,1115,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,267,0,0,0.0,0.0,2024-03-02 15:00:00+00:00,0,15,0,0,0,0,27,0,4188,0,0,3,0.0,0,-11,0,11,53,False,0,3,Daniel Castelo Podence,20,27,NEW,1050,1160,WOL,1105,1100,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,280,0,0,0.0,0.0,2024-03-09 15:00:00+00:00,0,10,0,0,0,0,28,0,4173,0,1,2,0.0,0,-17,0,17,53,True,0,3,Daniel Castelo Podence,20,28,FUL,1180,1170,WOL,1085,1115,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,291,0,0,0.0,0.0,2024-03-30 17:30:00+00:00,0,2,0,0,0,0,30,0,4160,0,0,2,0.0,0,-4,0,4,53,False,0,3,Daniel Castelo Podence,20,30,AVL,1140,1180,WOL,1105,1100,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,304,0,0,0.0,0.0,2024-04-02 18:45:00+00:00,0,6,0,0,0,0,31,0,4158,0,1,1,0.0,0,-2,0,2,53,False,0,3,Daniel Castelo Podence,20,31,BUR,1050,1040,WOL,1105,1100,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,320,0,0,0.0,0.0,2024-04-06 14:00:00+00:00,0,19,0,0,0,0,32,0,4154,0,2,1,0.0,0,-4,0,4,53,True,0,3,Daniel Castelo Podence,20,32,WHU,1140,1150,WOL,1085,1115,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,329,0,0,0.0,0.0,2024-04-13 14:00:00+00:00,0,16,0,0,0,0,33,0,4146,0,2,2,0.0,0,-8,0,8,53,False,0,3,Daniel Castelo Podence,20,33,NFO,1050,1080,WOL,1105,1100,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,340,0,0,0.0,0.0,2024-04-20 18:30:00+00:00,0,1,0,0,0,0,34,0,4140,0,2,0,0.0,0,-6,0,6,53,True,0,3,Daniel Castelo Podence,20,34,ARS,1370,1360,WOL,1085,1115,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,290,0,0,0.0,0.0,2024-04-24 18:45:00+00:00,0,3,0,0,0,0,34,0,4140,0,1,0,0.0,0,-6,0,6,53,True,0,3,Daniel Castelo Podence,20,34,BOU,1130,1075,WOL,1085,1115,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,350,0,0,0.0,0.0,2024-04-27 14:00:00+00:00,0,12,0,0,0,0,35,0,4133,0,1,2,0.0,0,-7,0,7,53,True,0,3,Daniel Castelo Podence,20,35,LUT,1060,1120,WOL,1085,1115,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,359,0,0,0.0,0.0,2024-05-04 16:30:00+00:00,0,13,0,0,0,0,36,0,4129,0,1,5,0.0,0,-4,0,4,53,False,0,3,Daniel Castelo Podence,20,36,MCI,1350,1360,WOL,1105,1100,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,370,0,0,0.0,0.0,2024-05-11 14:00:00+00:00,0,8,0,0,0,0,37,0,4122,0,3,1,0.0,0,-7,0,7,53,True,0,3,Daniel Castelo Podence,20,37,CRY,1120,1085,WOL,1085,1115,1,2023
0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,377,0,0,0.0,0.0,2024-05-19 15:00:00+00:00,0,11,0,0,0,0,38,0,4110,0,0,2,0.0,0,-12,0,12,53,False,0,3,Daniel Castelo Podence,20,38,LIV,1210,1270,WOL,1105,1100,1,2023
