assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,3,0,0.2,651,0.0,0.0,0.0,0.53,7,1,0,0.3,2.6,2022-08-06 14:00:00+00:00,15,15,0,0,0,0,1,0,3088,0,0,2,0.0,1,0,0,0,50,False,0,3,Orel Mangala,16,NEW,1250,1165,NFO,1100,1105,1,2022
0,0,4,1,4.4,651,0.01,0.04,0.03,2.08,18,0,0,1.4,1.6,2022-08-14 13:00:00+00:00,83,19,0,0,0,0,2,0,3453,1,0,1,8.0,3,-376,135,511,50,True,0,3,Orel Mangala,16,WHU,1150,1110,NFO,1065,1030,1,2022
0,0,12,0,12.1,651,0.02,0.1,0.08,0.51,23,0,0,3.1,11.6,2022-08-20 14:00:00+00:00,54,8,0,0,0,0,3,0,4491,1,1,1,7.0,1,373,955,582,50,False,0,3,Orel Mangala,16,EVE,1070,1040,NFO,1100,1105,1,2022
0,0,0,0,0.0,651,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2022-08-28 15:30:00+00:00,0,18,0,0,0,0,4,0,4199,0,2,0,0.0,0,-575,267,842,50,True,0,3,Orel Mangala,16,TOT,1210,1230,NFO,1065,1030,1,2022
0,0,0,0,0.0,651,0.0,0.0,0.0,0.0,49,0,0,0.0,0.0,2022-08-31 18:30:00+00:00,0,13,0,0,0,0,5,0,3490,0,0,6,0.0,0,-833,74,907,50,False,0,3,Orel Mangala,16,MCI,1340,1360,NFO,1100,1105,1,2022
0,0,0,0,0.0,651,0.0,0.0,0.0,0.0,58,0,0,0.0,0.0,2022-09-03 14:00:00+00:00,0,3,0,0,0,0,6,0,2759,0,3,2,0.0,0,-746,23,769,49,True,0,3,Orel Mangala,16,BOU,1110,1080,NFO,1065,1030,1,2022
0,0,0,0,0.0,651,0.0,0.0,0.0,0.0,78,0,0,0.0,0.0,2022-09-16 19:00:00+00:00,0,9,0,0,0,0,8,0,2394,0,3,2,0.0,0,-76,45,121,49,True,0,3,Orel Mangala,16,FUL,1065,1140,NFO,1065,1030,1,2022
0,0,3,0,0.9,651,0.0,0.0,0.0,0.17,86,1,0,0.3,2.0,2022-10-03 19:00:00+00:00,21,11,0,0,0,0,9,0,2324,0,0,4,0.0,1,-96,71,167,49,False,0,3,Orel Mangala,16,LEI,1065,1200,NFO,1100,1105,1,2022
0,0,0,0,0.0,651,0.0,0.0,0.0,0.0,99,0,0,0.0,0.0,2022-10-10 19:00:00+00:00,0,2,0,0,0,0,10,0,2285,0,1,1,0.0,0,-70,60,130,49,True,0,3,Orel Mangala,16,AVL,1075,1130,NFO,1065,1030,1,2022
0,0,2,0,0.3,651,0.0,0.08,0.08,0.01,110,0,0,0.8,0.0,2022-10-15 14:00:00+00:00,20,20,0,0,0,0,11,0,2321,0,0,1,9.0,1,-11,65,76,49,False,0,3,Orel Mangala,16,WOL,1100,1060,NFO,1100,1105,1,2022
0,0,7,1,0.7,651,0.0,0.0,0.0,1.34,114,0,0,0.4,3.0,2022-10-18 18:30:00+00:00,60,5,0,0,0,0,12,0,2354,1,0,0,0.0,3,-3,55,58,49,False,0,3,Orel Mangala,16,BHA,1140,1200,NFO,1100,1105,1,2022
