assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,0,0,0.0,241,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2023-08-12,0,8,0,0,0,0,1,0,29050,0,1,0,0.0,0,0,0,0,45,False,0,0,0,0,0.0,2,Calvin Bassey,9,EVE,1125,1065,FUL,1180,1170,2023,0.0,,1.58144,6.0,1.58144,2.59001,7.0,2.59001
0,0,4,0,0.5,241,0.0,0.0,0.0,1.87,13,1,0,0.4,3.4,2023-08-19,23,4,0,0,0,0,2,0,29878,0,3,0,0.0,1,-2695,1579,4274,45,True,0,0,0,0,0.0,2,Calvin Bassey,9,BRE,1055,1150,FUL,1050,1060,2023,0.0,,0.399899,8.0,0.399899,3.46888,13.0,2.70772
0,0,0,0,0.3,241,0.0,0.0,0.0,3.92,21,2,0,0.7,7.0,2023-08-26,82,1,0,0,0,1,3,0,27642,1,2,2,0.0,-2,-3067,682,3749,45,False,0,0,0,0,0.0,2,Calvin Bassey,9,ARS,1370,1330,FUL,1180,1170,2023,0.0,,0.849817,2.0,0.849817,3.23088,22.0,2.46971
0,0,0,0,0.0,241,0.0,0.0,0.0,0.0,39,0,0,0.0,0.0,2023-09-02,0,13,0,0,0,0,4,0,24826,0,1,5,0.0,0,-3461,574,4035,45,False,0,0,0,0,0.0,2,Calvin Bassey,9,MCI,1350,1360,FUL,1180,1170,2023,0.0,,1.46427,4.0,1.46427,2.00152,8.0,1.24035
0,0,3,0,0.1,241,0.0,0.0,0.0,0.28,44,0,0,0.0,0.2,2023-09-16,1,22,0,0,0,0,5,0,24943,0,0,1,0.0,1,-974,1423,2397,45,True,0,0,0,0,0.0,2,Calvin Bassey,9,LUT,1060,1120,FUL,1050,1060,2023,0.0,,1.75704,9.0,1.75704,1.45705,3.0,1.45705
0,0,0,0,0.0,241,0.0,0.0,0.0,0.0,56,0,0,0.0,0.0,2023-09-23,0,7,0,0,0,0,6,0,23908,0,0,0,0.0,0,-1269,498,1767,45,False,0,0,0,0,0.0,2,Calvin Bassey,9,CRY,1080,1060,FUL,1180,1170,2023,0.0,,0.542678,9.0,0.542678,0.37236,3.0,0.37236
0,0,0,0,0.0,241,0.0,0.0,0.0,0.0,64,0,0,0.0,0.0,2023-10-02,0,6,0,0,0,0,7,0,21362,0,2,0,0.0,0,-2554,170,2724,45,True,0,0,0,0,0.0,2,Calvin Bassey,9,CHE,1150,1230,FUL,1050,1060,2023,0.0,,0.889383,7.0,0.889383,1.98461,8.0,1.98461
0,0,7,0,0.7,241,0.0,0.0,0.0,0.02,76,0,0,0.8,5.2,2023-10-07,19,23,0,0,0,0,8,0,20188,0,1,3,2.0,1,-1365,383,1748,44,True,0,0,0,0,0.0,2,Calvin Bassey,9,SHU,1020,1060,FUL,1050,1060,2023,0.0,,2.26612,9.0,2.26612,0.251809,0.0,0.251809
0,0,13,0,0.5,241,0.0,0.01,0.0,1.51,90,2,0,1.8,15.8,2023-10-23,90,18,0,0,0,0,9,0,19833,1,0,2,2.0,1,-541,462,1003,44,False,0,0,0,0,0.0,2,Calvin Bassey,9,TOT,1110,1230,FUL,1180,1170,2023,0.0,,0.745838,5.0,0.745838,1.63523,13.0,1.63523
0,0,14,0,0.7,241,0.0,0.0,0.0,1.32,94,1,0,2.6,25.0,2023-10-29,90,5,0,0,0,0,10,0,19535,1,1,1,0.0,2,-373,489,862,44,False,0,0,0,0,0.0,2,Calvin Bassey,9,BHA,1070,1135,FUL,1180,1170,2023,0.0,,0.552523,9.0,0.552523,1.31996,8.0,1.31996
