assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order
0,0,0,0,11.0,1072,0.0593684911727905,0.31,0.166565790772438,0.45,25,0,0,1.6,0.0,2023-08-27,17,21,0,0,0,0,3,0,1317,0,3,1,6.0,1,880,1006,126,55,False,0,2,1,0,0.166565790772438,3,Nicolò Zaniolo,2,BUR,1050,1040,AVL,1220,1350,2023,0.166565790772438,
0,0,4,0,10.7,1072,0.024238683283329,0.01,0.0,0.19,37,0,0,2.3,9.8,2023-09-03,25,12,0,0,0,0,4,0,2716,0,0,3,2.0,1,774,1168,394,55,False,0,0,1,0,0.0,3,Nicolò Zaniolo,2,LIV,1210,1270,AVL,1220,1350,2023,0.0,
0,0,-3,0,33.1,1072,0.2195102125406265,0.3,0.0551605559885501,0.37,41,1,0,6.6,5.8,2023-09-16,56,7,0,0,0,0,5,0,3886,1,1,3,27.0,0,418,1030,612,55,True,1,1,3,0,0.0551605559885501,3,Nicolò Zaniolo,2,CRY,1120,1085,AVL,1140,1180,2023,0.0551605559885501,
0,0,4,1,0.9,1072,0.0,0.22,0.1534928828477859,0.99,55,0,0,4.2,8.8,2023-09-24,74,6,0,0,0,0,6,0,4031,1,1,0,32.0,3,-156,507,663,55,False,0,2,0,0,0.1534928828477859,3,Nicolò Zaniolo,2,CHE,1080,1170,AVL,1220,1350,2023,0.1534928828477859,
0,0,-6,0,0.3,1072,0.0,0.05,0.0980321541428566,1.33,61,1,0,2.5,0.2,2023-09-30,56,5,0,0,0,0,7,0,5553,1,1,6,24.0,1,1123,1753,630,55,True,0,2,0,0,0.0980321541428566,3,Nicolò Zaniolo,2,BHA,1180,1240,AVL,1140,1180,2023,0.0980321541428566,
0,0,0,0,0.2,1072,0.0,0.14,0.1183751747012138,0.77,80,0,0,0.6,0.0,2023-10-08,28,20,0,0,0,0,8,0,7880,0,1,1,9.0,1,1843,3241,1398,55,False,0,1,0,0,0.1183751747012138,3,Nicolò Zaniolo,2,WOL,1085,1115,AVL,1220,1350,2023,0.1183751747012138,
0,0,6,0,2.9,1072,0.0,0.06,0.0165926609188318,0.91,81,1,0,1.1,5.4,2023-10-22,75,19,0,0,0,0,9,0,7134,1,1,4,3.0,2,-907,665,1572,55,True,0,1,0,0,0.0165926609188318,3,Nicolò Zaniolo,2,WHU,1140,1150,AVL,1140,1180,2023,0.0165926609188318,
0,0,-9,0,11.0,1072,0.0888141840696334,0.68,0.9315837621688844,0.0,92,0,0,7.7,0.4,2023-10-29,45,22,0,0,0,0,10,0,6804,1,1,3,66.0,0,-515,662,1177,55,True,1,6,1,0,0.9315837621688844,3,Nicolò Zaniolo,2,LUT,1060,1120,AVL,1140,1180,2023,0.9315837621688844,
0,0,-6,0,0.9,1072,0.0,0.23,0.3975326418876648,0.3,108,1,0,2.8,0.0,2023-11-05,45,16,0,0,0,0,11,0,6421,1,0,2,27.0,1,-548,509,1057,55,False,0,2,0,0,0.3975326418876648,3,Nicolò Zaniolo,2,NFO,1050,1080,AVL,1220,1350,2023,0.3975326418876648,
0,0,0,0,0.0,1072,0.0,0.0,0.0,0.0,112,0,0,0.0,0.0,2023-11-12,0,9,0,0,0,0,12,0,6209,0,1,3,0.0,0,-351,281,632,55,True,0,0,0,0,0.0,3,Nicolò Zaniolo,2,FUL,1180,1170,AVL,1140,1180,2023,0.0,
