assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds
0,0,0,0,0.0,294,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2024-08-19 19:00:00+00:00,0,18,0,0,0,0,1,0,65236,0,1,1,0.0,0,0,0,0,40,True,0,1,Daniel Iversen,11,TOT,1170,1350,LEI,1060,1090,1
0,0,0,0,0.0,294,0.0,0.0,0.0,0.0,15,0,0,0.0,0.0,2024-08-24 14:00:00+00:00,0,9,0,0,0,0,2,0,71540,0,1,2,0.0,0,422,2677,2255,40,False,0,1,Daniel Iversen,11,FUL,1100,1100,LEI,1120,1080,1
0,0,0,0,0.0,294,0.0,0.0,0.0,0.0,26,0,0,0.0,0.0,2024-08-31 14:00:00+00:00,0,2,0,0,0,0,3,0,74080,0,2,1,0.0,0,410,5128,4718,40,True,0,1,Daniel Iversen,11,AVL,1140,1300,LEI,1060,1090,1
0,0,0,0,0.0,294,0.0,0.0,0.0,0.0,34,0,0,0.0,0.0,2024-09-14 14:00:00+00:00,0,7,0,0,0,0,4,0,71777,0,2,2,0.0,0,-3143,3110,6253,40,False,0,1,Daniel Iversen,11,CRY,1100,1090,LEI,1120,1080,1
0,0,0,0,0.0,294,0.0,0.0,0.0,0.0,45,0,0,0.0,0.0,2024-09-21 14:00:00+00:00,0,8,0,0,0,0,5,0,70615,0,1,1,0.0,0,-1470,1193,2663,40,True,0,1,Daniel Iversen,11,EVE,1100,1100,LEI,1060,1090,1
0,0,0,0,0.0,294,0.0,0.0,0.0,0.0,51,0,0,0.0,0.0,2024-09-28 14:00:00+00:00,0,1,0,0,0,0,6,0,69678,0,2,4,0.0,0,-1395,4859,6254,40,False,0,1,Daniel Iversen,11,ARS,1360,1340,LEI,1120,1080,1
0,0,0,0,0.0,294,0.0,0.0,0.0,0.0,68,0,0,0.0,0.0,2024-10-05 14:00:00+00:00,0,3,0,0,0,0,7,0,69249,0,0,1,0.0,0,-906,1860,2766,40,True,0,1,Daniel Iversen,11,BOU,1130,1160,LEI,1060,1090,1
0,0,0,0,0.0,294,0.0,0.0,0.0,0.0,78,0,0,0.0,0.0,2024-10-19 14:00:00+00:00,0,17,0,0,0,0,8,0,68497,0,3,2,0.0,0,-1095,1322,2417,40,False,0,1,Daniel Iversen,11,SOU,1060,1060,LEI,1120,1080,1
0,0,0,0,0.0,294,0.0,0.0,0.0,0.0,88,0,0,0.0,0.0,2024-10-25 19:00:00+00:00,0,16,0,0,0,0,9,0,67679,0,3,1,0.0,0,-920,622,1542,40,True,0,1,Daniel Iversen,11,NFO,1130,1070,LEI,1060,1090,1
0,0,0,0,0.0,294,0.0,0.0,0.0,0.0,93,0,0,0.0,0.0,2024-11-02 15:00:00+00:00,0,10,0,0,0,0,10,0,67008,0,1,1,0.0,0,-844,903,1747,40,False,0,1,Daniel Iversen,11,IPS,1070,1050,LEI,1120,1080,1
