assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,0,0,0.0,456,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,False,15,0,0,0,0,1,0,30004,0,0,1,0.0,0,0,0,0,40,False,0,2,Armel Bella-Kotchap,17,NEW,1100,1130,SOU,1070,1060,2024,,1.95483,13.0,1.95483,0.433489,4.0,0.433489
0,0,0,0,0.0,456,0.0,0.0,0.0,0.0,18,0,0,0.0,0.0,2024-08-24T14:00:00Z,0,False,16,0,0,0,0,2,0,32035,0,1,0,0.0,0,-1366,1326,2692,40,True,0,2,Armel Bella-Kotchap,17,NFO,1130,1070,SOU,1060,1060,2024,,0.214952,4.0,0.214952,2.86475,9.0,2.86475
0,0,0,0,0.0,456,0.0,0.0,0.0,0.0,22,0,0,0.0,0.0,2024-08-31T14:00:00Z,0,False,4,0,0,0,0,3,0,31755,0,1,3,0.0,0,-1549,1845,3394,40,False,0,2,Armel Bella-Kotchap,17,BRE,1080,1100,SOU,1070,1060,2024,,1.64713,14.0,1.64713,3.86281,15.0,3.86281
0,0,0,0,0.0,456,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2024-09-14T11:30:00Z,0,False,14,0,0,0,0,4,0,31385,0,3,0,0.0,0,-1456,1892,3348,40,True,0,2,Armel Bella-Kotchap,17,MUN,1140,1170,SOU,1060,1060,2024,,1.35593,3.0,0.545317,3.02693,17.0,3.02693
0,0,0,0,0.0,456,0.0,0.0,0.0,0.0,48,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,False,10,0,0,0,0,5,0,30824,0,1,1,0.0,0,-970,625,1595,40,True,0,2,Armel Bella-Kotchap,17,IPS,1080,1100,SOU,1060,1060,2024,,2.89813,7.0,2.89813,1.645,5.0,1.645
0,0,0,0,0.0,456,0.0,0.0,0.0,0.0,52,0,0,0.0,0.0,2024-09-30T19:00:00Z,0,False,3,0,0,0,0,6,0,30154,0,1,3,0.0,0,-1077,906,1983,40,False,0,2,Armel Bella-Kotchap,17,BOU,1070,1130,SOU,1070,1060,2024,,0.696068,7.0,0.696068,1.44215,7.0,1.44215
0,0,0,0,0.0,456,0.0,0.0,0.0,0.0,61,0,0,0.0,0.0,2024-10-05T14:00:00Z,0,False,1,0,0,0,0,7,0,29744,0,1,3,0.0,0,-761,650,1411,40,False,0,2,Armel Bella-Kotchap,17,ARS,1360,1340,SOU,1070,1060,2024,,1.27313,3.0,1.27313,3.25165,14.0,3.25165
0,0,0,0,0.0,456,0.0,0.0,0.0,0.0,78,0,0,0.0,0.0,2024-10-19T14:00:00Z,0,False,11,0,0,0,0,8,0,42615,0,3,2,0.0,0,9374,11399,2025,39,True,0,2,Armel Bella-Kotchap,17,LEI,1120,1080,SOU,1060,1060,2024,,2.42776,8.0,2.42776,2.83826,11.0,2.0771
0,0,0,0,0.0,456,0.0,0.0,0.0,0.0,89,0,0,0.0,0.0,2024-10-26T14:00:00Z,0,False,13,0,0,0,0,9,0,47616,0,0,1,0.0,0,4961,7284,2323,39,False,0,2,Armel Bella-Kotchap,17,MCI,1350,1360,SOU,1070,1060,2024,,0.369989,6.0,0.369989,3.16286,12.0,3.16286
0,0,0,0,0.0,456,0.0,0.0,0.0,0.0,98,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,False,8,0,0,0,0,10,0,49414,0,0,1,0.0,0,2048,4587,2539,39,True,0,2,Armel Bella-Kotchap,17,EVE,1100,1100,SOU,1060,1060,2024,,0.540345,6.0,0.540345,1.78581,4.0,1.78581
