assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,645,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2023-08-12 14:00:00+00:00,0,10,0,0,0,0,1,0,2989,0,1,0,0.0,0,0,0,0,50,True,0,4,Youssef Ramalho Chermiti,9,FUL,1180,1170,EVE,1125,1065,1,2023
0,0,0,0,0.0,645,0.0,0.0,0.0,0.0,11,0,0,0.0,0.0,2023-08-20 13:00:00+00:00,0,2,0,0,0,0,2,0,5544,0,0,4,0.0,0,270,1044,774,50,False,0,4,Youssef Ramalho Chermiti,9,AVL,1140,1180,EVE,1125,1080,1,2023
0,0,-2,0,0.5,645,0.03,0.09,0.06,0.57,27,1,0,0.6,0.0,2023-08-26 14:00:00+00:00,24,20,0,0,0,0,3,0,5273,0,1,0,7.0,0,-694,437,1131,50,True,1,4,Youssef Ramalho Chermiti,9,WOL,1105,1100,EVE,1125,1065,1,2023
0,0,0,0,0.0,645,0.0,0.0,0.0,0.0,40,0,0,0.0,0.0,2023-09-02 11:30:00+00:00,0,17,0,0,0,0,4,0,5051,0,2,2,0.0,0,-597,446,1043,50,False,0,4,Youssef Ramalho Chermiti,9,SHU,1045,1020,EVE,1125,1080,1,2023
0,0,2,0,1.1,645,0.0,0.0,0.0,0.0,43,0,0,0.1,0.0,2023-09-17 15:30:00+00:00,2,1,0,0,0,0,5,0,4734,0,1,0,0.0,1,-683,358,1041,49,True,0,4,Youssef Ramalho Chermiti,9,ARS,1370,1360,EVE,1125,1065,1,2023
0,0,0,0,0.0,645,0.0,0.0,0.0,0.0,52,0,0,0.0,0.0,2023-09-23 16:30:00+00:00,0,4,0,0,0,0,6,0,4816,0,3,1,0.0,0,-109,311,420,49,False,0,4,Youssef Ramalho Chermiti,9,BRE,1110,1090,EVE,1125,1080,1,2023
0,0,0,0,0.0,645,0.0,0.0,0.0,0.0,63,0,0,0.0,0.0,2023-09-30 14:00:00+00:00,0,12,0,0,0,0,7,0,4900,0,2,1,0.0,0,-29,490,519,49,True,0,4,Youssef Ramalho Chermiti,9,LUT,1060,1120,EVE,1125,1065,1,2023
0,0,2,0,0.1,645,0.0,0.0,0.0,0.0,75,0,0,0.0,0.0,2023-10-07 14:00:00+00:00,1,3,0,0,0,0,8,0,4802,0,0,3,0.0,1,-230,200,430,49,True,0,4,Youssef Ramalho Chermiti,9,BOU,1130,1075,EVE,1125,1065,1,2023
0,0,1,0,0.0,645,0.0,0.0,0.0,0.59,85,1,0,0.2,0.0,2023-10-21 11:30:00+00:00,2,11,0,0,0,0,9,0,5040,0,0,2,2.0,1,40,329,289,49,False,0,4,Youssef Ramalho Chermiti,9,LIV,1210,1270,EVE,1125,1080,1,2023
0,0,2,0,0.0,645,0.0,0.0,0.0,0.03,99,0,0,0.0,0.0,2023-10-29 13:00:00+00:00,1,19,0,0,0,0,10,0,4969,0,1,0,0.0,1,-152,200,352,49,False,0,4,Youssef Ramalho Chermiti,9,WHU,1055,1150,EVE,1125,1080,1,2023
0,0,0,0,0.0,645,0.0,0.0,0.0,0.0,103,0,0,0.0,0.0,2023-11-04 15:00:00+00:00,0,5,0,0,0,0,11,0,5106,0,1,1,0.0,0,26,307,281,49,True,0,4,Youssef Ramalho Chermiti,9,BHA,1180,1240,EVE,1125,1065,1,2023
0,0,0,0,0.0,645,0.0,0.0,0.0,0.0,116,0,0,0.0,0.0,2023-11-11 15:00:00+00:00,0,8,0,0,0,0,12,0,5257,0,3,2,0.0,0,43,319,276,49,False,0,4,Youssef Ramalho Chermiti,9,CRY,1080,1060,EVE,1125,1080,1,2023
0,0,5,0,11.8,645,0.0,0.23,0.23,0.18,123,0,0,1.8,0.0,2023-11-26 16:30:00+00:00,8,14,0,0,0,0,13,0,5158,0,3,0,8.0,1,-180,160,340,49,True,0,4,Youssef Ramalho Chermiti,9,MUN,1210,1230,EVE,1125,1065,1,2023
0,0,3,0,0.0,645,0.0,0.0,0.0,0.1,139,0,0,0.0,0.0,2023-12-02 17:30:00+00:00,8,16,0,0,0,0,14,0,5325,0,1,0,0.0,1,96,304,208,49,False,0,4,Youssef Ramalho Chermiti,9,NFO,1050,1080,EVE,1125,1080,1,2023
0,0,0,0,0.0,645,0.0,0.0,0.0,0.0,144,0,0,0.0,0.0,2023-12-07 19:30:00+00:00,0,15,0,0,0,0,15,0,5261,0,0,3,0.0,0,-111,108,219,49,True,0,4,Youssef Ramalho Chermiti,9,NEW,1210,1355,EVE,1125,1065,1,2023
0,0,0,0,0.0,645,0.0,0.0,0.0,0.0,154,0,0,0.0,0.0,2023-12-10 14:00:00+00:00,0,7,0,0,0,0,16,0,5255,0,0,2,0.0,0,-74,98,172,49,True,0,4,Youssef Ramalho Chermiti,9,CHE,1150,1230,EVE,1125,1065,1,2023
0,0,0,0,0.0,645,0.0,0.0,0.0,0.0,164,0,0,0.0,0.0,2023-12-16 17:30:00+00:00,0,6,0,0,0,0,17,0,5348,0,2,0,0.0,0,-22,213,235,48,False,0,4,Youssef Ramalho Chermiti,9,BUR,1050,1040,EVE,1125,1080,1,2023
0,0,0,0,0.0,645,0.0,0.0,0.0,0.0,178,0,0,0.0,0.0,2023-12-23 15:00:00+00:00,0,18,0,0,0,0,18,0,5359,0,1,2,0.0,0,-57,136,193,48,False,0,4,Youssef Ramalho Chermiti,9,TOT,1110,1230,EVE,1125,1080,1,2023
0,0,0,0,0.0,645,0.0,0.0,0.0,0.0,187,0,0,0.0,0.0,2023-12-27 20:15:00+00:00,0,13,0,0,0,0,19,0,5349,0,3,1,0.0,0,-55,98,153,48,True,0,4,Youssef Ramalho Chermiti,9,MCI,1360,1370,EVE,1125,1065,1,2023
