h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,xG_rolling_3,deep_rolling_3,xGA_rolling_3,deep_allowed_rolling_3,xG_rolling_4,deep_rolling_4,xGA_rolling_4,deep_allowed_rolling_4,xG_rolling_5,deep_rolling_5,xGA_rolling_5,deep_allowed_rolling_5,xG_rolling_13,deep_rolling_13,xGA_rolling_13,deep_allowed_rolling_13,xG_rolling_16,deep_rolling_16,xGA_rolling_16,deep_allowed_rolling_16,xG_rolling_20,deep_rolling_20,xGA_rolling_20,deep_allowed_rolling_20
h,0.246188,2.58739,0.246188,1.82623,"{'att': 520, 'def': 20}","{'att': 153, 'def': 6}",2,11,0,2,0.08,l,2022-08-07,0,0,1,0,-1.580042,0.9916841999999999,4.2,1.482676,5.4,0.9916841999999999,4.2,1.482676,5.4,0.9916841999999999,4.2,1.482676,5.4,0.9916841999999999,4.2,1.482676,5.4,0.9916841999999999,4.2,1.482676,5.4,0.9916841999999999,4.2,1.482676,5.4
a,2.08634,1.9717,1.32517,1.9717,"{'att': 123, 'def': 15}","{'att': 173, 'def': 16}",7,4,0,1,1.4451,l,2022-08-14,0,0,1,0,-0.64653,0.246188,2.0,2.58739,11.0,0.246188,2.0,2.58739,11.0,0.246188,2.0,2.58739,11.0,0.246188,2.0,2.58739,11.0,0.246188,2.0,2.58739,11.0,0.246188,2.0,2.58739,11.0
h,0.768634,1.82645,0.768634,1.06528,"{'att': 261, 'def': 10}","{'att': 264, 'def': 14}",6,2,0,2,0.5258,l,2022-08-21,0,0,1,0,-0.2966459999999999,1.166264,4.5,2.279545,7.5,1.166264,4.5,2.279545,7.5,1.166264,4.5,2.279545,7.5,1.166264,4.5,2.279545,7.5,1.166264,4.5,2.279545,7.5,1.166264,4.5,2.279545,7.5
a,0.334589,0.304555,0.334589,0.304555,"{'att': 351, 'def': 20}","{'att': 243, 'def': 18}",3,4,1,0,1.2731,w,2022-08-28,1,0,0,3,0.030034,1.0337206666666667,5.0,2.1285133333333333,5.666666666666667,1.0337206666666667,5.0,2.1285133333333333,5.666666666666667,1.0337206666666667,5.0,2.1285133333333333,5.666666666666667,1.0337206666666667,5.0,2.1285133333333333,5.666666666666667,1.0337206666666667,5.0,2.1285133333333333,5.666666666666667,1.0337206666666667,5.0,2.1285133333333333,5.666666666666667
h,1.52267,0.723285,1.52267,0.723285,"{'att': 452, 'def': 16}","{'att': 189, 'def': 10}",3,6,1,1,2.0176,d,2022-08-31,0,1,0,1,0.799385,1.0631876666666666,5.333333333333333,1.3675683333333335,3.3333333333333335,0.8589377499999999,4.5,1.67252375,5.25,0.8589377499999999,4.5,1.67252375,5.25,0.8589377499999999,4.5,1.67252375,5.25,0.8589377499999999,4.5,1.67252375,5.25,0.8589377499999999,4.5,1.67252375,5.25
a,1.4196,0.707333,1.4196,0.707333,"{'att': 327, 'def': 14}","{'att': 164, 'def': 17}",1,4,1,2,2.1213,l,2022-09-03,0,0,1,0,0.712267,0.8752976666666666,4.0,0.9514299999999999,4.0,1.1780582499999999,4.75,1.2064975,4.0,0.9916841999999999,4.2,1.482676,5.4,0.9916841999999999,4.2,1.482676,5.4,0.9916841999999999,4.2,1.482676,5.4,0.9916841999999999,4.2,1.482676,5.4
a,0.655351,0.39773,0.655351,0.39773,"{'att': 239, 'def': 21}","{'att': 201, 'def': 13}",2,3,0,1,1.5435,l,2022-09-18,0,0,1,0,0.257621,1.0922863333333332,2.3333333333333335,0.578391,4.666666666666667,1.0113732500000001,3.25,0.8904057499999999,4.0,1.2263666,4.0,1.1066646,4.0,1.0630035,3.6666666666666665,1.3534521666666668,5.166666666666667,1.0630035,3.6666666666666665,1.3534521666666668,5.166666666666667,1.0630035,3.6666666666666665,1.3534521666666668,5.166666666666667
h,1.03934,0.575988,1.03934,0.575988,"{'att': 278, 'def': 13}","{'att': 202, 'def': 10}",4,10,2,0,1.7294,w,2022-10-01,1,0,0,3,0.4633519999999999,1.199207,2.0,0.6094493333333333,4.333333333333333,0.9830525,2.25,0.5332257499999999,4.25,0.9401688,3.0,0.7918706,3.8,1.0047674285714285,3.4285714285714284,1.2169204285714286,4.857142857142857,1.0047674285714285,3.4285714285714284,1.2169204285714286,4.857142857142857,1.0047674285714285,3.4285714285714284,1.2169204285714286,4.857142857142857
h,3.43676,0.549848,2.67559,0.549848,"{'att': 277, 'def': 9}","{'att': 269, 'def': 15}",7,5,3,1,2.9013,w,2022-10-09,1,0,0,3,2.125742,1.0380969999999998,2.3333333333333335,0.5603503333333333,5.666666666666667,1.15924025,2.5,0.601084,5.75,0.9943099999999999,2.6,0.5417781999999999,5.4,1.009089,3.5,1.136803875,5.5,1.009089,3.5,1.136803875,5.5,1.009089,3.5,1.136803875,5.5
a,1.70727,0.524479,1.70727,0.524479,"{'att': 146, 'def': 13}","{'att': 234, 'def': 13}",8,2,1,1,2.278,d,2022-10-16,0,1,0,1,1.182791,1.7104836666666667,4.333333333333333,0.5078553333333333,6.0,1.6377627499999998,3.5,0.55772475,5.5,1.6147441999999999,3.4,0.5908368,5.6,1.278830222222222,3.888888888888889,1.0715865555555555,5.444444444444445,1.278830222222222,3.888888888888889,1.0715865555555555,5.444444444444445,1.278830222222222,3.888888888888889,1.0715865555555555,5.444444444444445
