h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,xG_rolling_3,deep_rolling_3,xGA_rolling_3,deep_allowed_rolling_3,xG_rolling_4,deep_rolling_4,xGA_rolling_4,deep_allowed_rolling_4,xG_rolling_5,deep_rolling_5,xGA_rolling_5,deep_allowed_rolling_5,xG_rolling_13,deep_rolling_13,xGA_rolling_13,deep_allowed_rolling_13,xG_rolling_16,deep_rolling_16,xGA_rolling_16,deep_allowed_rolling_16,xG_rolling_20,deep_rolling_20,xGA_rolling_20,deep_allowed_rolling_20
a,1.43601,1.20637,1.43601,1.20637,"{'att': 355, 'def': 28}","{'att': 246, 'def': 24}",13,8,2,0,1.5583999999999998,w,2022-08-05,1,0,0,3,0.22964,2.2862999999999998,13.2,0.6663118000000001,3.6,2.2862999999999998,13.2,0.6663118000000001,3.6,2.2862999999999998,13.2,0.6663118000000001,3.6,2.2862999999999998,13.2,0.6663118000000001,3.6,2.2862999999999998,13.2,0.6663118000000001,3.6,2.2862999999999998,13.2,0.6663118000000001,3.6
h,3.0107,0.690679,3.0107,0.690679,"{'att': 279, 'def': 27}","{'att': 196, 'def': 14}",10,5,4,2,2.7487000000000004,w,2022-08-13,1,0,0,3,2.320021,1.43601,13.0,1.20637,8.0,1.43601,13.0,1.20637,8.0,1.43601,13.0,1.20637,8.0,1.43601,13.0,1.20637,8.0,1.43601,13.0,1.20637,8.0,1.43601,13.0,1.20637,8.0
a,1.71081,0.211335,1.71081,0.211335,"{'att': 218, 'def': 25}","{'att': 360, 'def': 23}",8,1,3,0,2.6009,w,2022-08-20,1,0,0,3,1.499475,2.2233549999999997,11.5,0.9485245,6.5,2.2233549999999997,11.5,0.9485245,6.5,2.2233549999999997,11.5,0.9485245,6.5,2.2233549999999997,11.5,0.9485245,6.5,2.2233549999999997,11.5,0.9485245,6.5,2.2233549999999997,11.5,0.9485245,6.5
h,2.47427,0.926007,2.47427,0.926007,"{'att': 103, 'def': 19}","{'att': 327, 'def': 22}",17,1,2,1,2.4378,w,2022-08-27,1,0,0,3,1.5482630000000002,2.0525066666666665,10.333333333333334,0.7027946666666667,4.666666666666667,2.0525066666666665,10.333333333333334,0.7027946666666667,4.666666666666667,2.0525066666666665,10.333333333333334,0.7027946666666667,4.666666666666667,2.0525066666666665,10.333333333333334,0.7027946666666667,4.666666666666667,2.0525066666666665,10.333333333333334,0.7027946666666667,4.666666666666667,2.0525066666666665,10.333333333333334,0.7027946666666667,4.666666666666667
h,2.79971,0.297168,2.79971,0.297168,"{'att': 168, 'def': 17}","{'att': 278, 'def': 19}",18,3,2,1,2.8527,w,2022-08-31,1,0,0,3,2.502542,2.398593333333334,11.666666666666666,0.6093403333333334,2.3333333333333335,2.1579475,12.0,0.7585977500000001,3.75,2.1579475,12.0,0.7585977500000001,3.75,2.1579475,12.0,0.7585977500000001,3.75,2.1579475,12.0,0.7585977500000001,3.75,2.1579475,12.0,0.7585977500000001,3.75
a,1.42238,2.02904,1.42238,2.02904,"{'att': 152, 'def': 18}","{'att': 241, 'def': 15}",16,5,1,3,0.9433,l,2022-09-04,0,0,1,0,-0.6066600000000002,2.3282633333333336,14.333333333333334,0.47817,1.6666666666666667,2.4988725,13.25,0.53129725,2.5,2.2862999999999998,13.2,0.6663118,3.6,2.2862999999999998,13.2,0.6663118,3.6,2.2862999999999998,13.2,0.6663118,3.6,2.2862999999999998,13.2,0.6663118,3.6
a,1.32021,0.54011,1.32021,0.54011,"{'att': 181, 'def': 18}","{'att': 277, 'def': 24}",9,3,3,0,2.0088,w,2022-09-18,1,0,0,3,0.7801000000000001,2.23212,17.0,1.0840716666666668,3.0,2.1017925,14.75,0.8658875000000001,2.5,2.283574,13.8,0.8308458,3.0,2.1423133333333335,13.666666666666666,0.8934331666666667,3.8333333333333335,2.1423133333333335,13.666666666666666,0.8934331666666667,3.8333333333333335,2.1423133333333335,13.666666666666666,0.8934331666666667,3.8333333333333335
h,2.48403,1.5027,2.48403,0.741526,"{'att': 187, 'def': 18}","{'att': 240, 'def': 13}",12,2,3,1,2.1046,w,2022-10-01,1,0,0,3,1.7425040000000005,1.8474333333333333,14.333333333333334,0.9554393333333334,3.6666666666666665,2.0041425,15.0,0.9480812500000001,3.0,1.945476,13.6,0.800732,2.6,2.02487,13.0,0.8429584285714286,3.7142857142857144,2.02487,13.0,0.8429584285714286,3.7142857142857144,2.02487,13.0,0.8429584285714286,3.7142857142857144
h,2.81968,0.765151,2.05851,0.765151,"{'att': 285, 'def': 17}","{'att': 174, 'def': 16}",14,4,3,2,2.7746,w,2022-10-09,1,0,0,3,1.293359,1.742206666666667,12.333333333333334,1.3572833333333332,3.3333333333333335,2.0065825,13.75,1.0922545000000001,3.25,2.10012,14.4,1.059005,2.8,2.082265,12.875,0.925426125,3.5,2.082265,12.875,0.925426125,3.5,2.082265,12.875,0.925426125,3.5
a,0.821757,2.02232,0.821757,1.26115,"{'att': 199, 'def': 19}","{'att': 340, 'def': 28}",5,8,1,0,0.5174000000000001,w,2022-10-16,1,0,0,3,-0.439393,2.2079733333333333,11.666666666666666,0.9359869999999999,3.0,2.011575,12.75,1.2092502500000002,3.5,2.169202,13.8,1.0268338,3.4,2.1642,13.0,0.9076177777777777,3.5555555555555554,2.1642,13.0,0.9076177777777777,3.5555555555555554,2.1642,13.0,0.9076177777777777,3.5555555555555554
