h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,xG_rolling_3,deep_rolling_3,xGA_rolling_3,deep_allowed_rolling_3,xG_rolling_4,deep_rolling_4,xGA_rolling_4,deep_allowed_rolling_4,xG_rolling_5,deep_rolling_5,xGA_rolling_5,deep_allowed_rolling_5,xG_rolling_13,deep_rolling_13,xGA_rolling_13,deep_allowed_rolling_13,xG_rolling_16,deep_rolling_16,xGA_rolling_16,deep_allowed_rolling_16,xG_rolling_20,deep_rolling_20,xGA_rolling_20,deep_allowed_rolling_20
a,0.931067,0.455695,0.931067,0.455695,"{'att': 311, 'def': 14}","{'att': 301, 'def': 17}",3,5,2,2,1.8173,d,2022-08-07,0,1,0,1,0.4753719999999999,1.5628853999999999,6.2,1.3366172,6.2,1.5628853999999999,6.2,1.3366172,6.2,1.5628853999999999,6.2,1.3366172,6.2,1.5628853999999999,6.2,1.3366172,6.2,1.5628853999999999,6.2,1.3366172,6.2,1.5628853999999999,6.2,1.3366172,6.2
h,1.38785,0.896038,1.38785,0.896038,"{'att': 204, 'def': 10}","{'att': 87, 'def': 13}",3,11,4,0,1.7734,w,2022-08-13,1,0,0,3,0.491812,0.931067,3.0,0.455695,5.0,0.931067,3.0,0.455695,5.0,0.931067,3.0,0.455695,5.0,0.931067,3.0,0.455695,5.0,0.931067,3.0,0.455695,5.0,0.931067,3.0,0.455695,5.0
a,1.59352,2.89934,1.59352,2.89934,"{'att': 145, 'def': 13}","{'att': 231, 'def': 24}",8,7,2,3,0.5215,l,2022-08-20,0,0,1,0,-1.30582,1.1594585,3.0,0.6758665,8.0,1.1594585,3.0,0.6758665,8.0,1.1594585,3.0,0.6758665,8.0,1.1594585,3.0,0.6758665,8.0,1.1594585,3.0,0.6758665,8.0,1.1594585,3.0,0.6758665,8.0
h,2.28391,1.65465,2.28391,1.65465,"{'att': 207, 'def': 18}","{'att': 261, 'def': 15}",9,7,1,1,1.8569,d,2022-08-27,0,1,0,1,0.6292600000000002,1.3041456666666666,4.666666666666667,1.4170243333333332,7.666666666666667,1.3041456666666666,4.666666666666667,1.4170243333333332,7.666666666666667,1.3041456666666666,4.666666666666667,1.4170243333333332,7.666666666666667,1.3041456666666666,4.666666666666667,1.4170243333333332,7.666666666666667,1.3041456666666666,4.666666666666667,1.4170243333333332,7.666666666666667,1.3041456666666666,4.666666666666667,1.4170243333333332,7.666666666666667
a,1.61808,0.777363,1.61808,0.777363,"{'att': 275, 'def': 19}","{'att': 273, 'def': 21}",8,1,1,1,2.0356,d,2022-08-30,0,1,0,1,0.8407169999999999,1.7550933333333336,6.666666666666667,1.8166760000000002,8.333333333333334,1.54908675,5.75,1.47643075,7.5,1.54908675,5.75,1.47643075,7.5,1.54908675,5.75,1.47643075,7.5,1.54908675,5.75,1.47643075,7.5,1.54908675,5.75,1.47643075,7.5
h,2.7485,1.796,1.98734,1.796,"{'att': 201, 'def': 30}","{'att': 104, 'def': 31}",5,9,5,2,2.0549,w,2022-09-03,1,0,0,3,0.19134,1.8318366666666668,8.333333333333334,1.7771176666666666,5.0,1.7208400000000001,7.0,1.55684775,6.5,1.5628854,6.2,1.3366172,6.2,1.5628854,6.2,1.3366172,6.2,1.5628854,6.2,1.3366172,6.2,1.5628854,6.2,1.3366172,6.2
h,0.54011,1.32021,0.54011,1.32021,"{'att': 277, 'def': 24}","{'att': 181, 'def': 18}",3,9,0,3,0.7047,l,2022-09-18,0,0,1,0,-0.7801000000000001,2.2168300000000003,7.333333333333333,1.4093376666666666,5.666666666666667,2.0610025,7.5,1.78183825,6.0,1.926372,6.6,1.6046782,7.0,1.7604878333333334,6.0,1.413181,6.666666666666667,1.7604878333333334,6.0,1.413181,6.666666666666667,1.7604878333333334,6.0,1.413181,6.666666666666667
a,1.046,0.758128,1.046,0.758128,"{'att': 191, 'def': 25}","{'att': 305, 'def': 16}",9,6,0,0,1.6037,d,2022-10-01,0,1,0,1,0.287872,1.6355633333333335,5.333333333333333,1.2978576666666666,6.333333333333333,1.7976500000000002,6.25,1.38705575,6.5,1.756824,6.6,1.6895126,6.6,1.586148142857143,5.571428571428571,1.3998994285714286,7.0,1.586148142857143,5.571428571428571,1.3998994285714286,7.0,1.586148142857143,5.571428571428571,1.3998994285714286,7.0
a,1.13466,2.44631,0.373493,2.44631,"{'att': 183, 'def': 20}","{'att': 170, 'def': 22}",4,9,1,5,0.4125,l,2022-10-08,0,0,1,0,-2.072817,1.4448699999999999,5.666666666666667,1.291446,8.0,1.4881725000000001,6.25,1.16292525,6.25,1.6473200000000001,6.8,1.2612702,6.4,1.518629625,6.0,1.3196780000000001,6.875,1.518629625,6.0,1.3196780000000001,6.875,1.518629625,6.0,1.3196780000000001,6.875
h,1.90636,2.15668,1.1452,2.15668,"{'att': 260, 'def': 20}","{'att': 99, 'def': 25}",8,14,2,0,1.194,w,2022-10-14,1,0,0,3,-1.0114800000000002,0.9069233333333333,5.333333333333333,1.5082160000000002,8.0,1.3673175,5.25,1.580162,8.25,1.41747,5.8,1.4196022000000001,6.8,1.4759663333333333,5.777777777777778,1.4448593333333335,7.111111111111111,1.4759663333333333,5.777777777777778,1.4448593333333335,7.111111111111111,1.4759663333333333,5.777777777777778,1.4448593333333335,7.111111111111111
h,1.45228,0.557405,1.45228,0.557405,"{'att': 284, 'def': 17}","{'att': 147, 'def': 14}",7,14,0,0,2.201,d,2022-10-19,0,1,0,1,0.894875,1.3623400000000003,7.0,1.7870393333333334,9.666666666666666,1.1567825,6.0,1.6703320000000001,9.5,1.475126,5.8,1.6954656,9.4,1.5190057,6.0,1.5160414000000002,7.8,1.5190057,6.0,1.5160414000000002,7.8,1.5190057,6.0,1.5160414000000002,7.8
a,1.00462,3.45617,1.00462,2.695,"{'att': 162, 'def': 22}","{'att': 208, 'def': 29}",3,9,0,4,0.1311,l,2022-10-23,0,0,1,0,-1.6903799999999998,1.4977666666666665,6.333333333333333,1.7201316666666668,12.333333333333334,1.384825,7.0,1.4796307500000003,10.75,1.2158820000000001,6.2,1.4477466,10.4,1.5129397272727274,6.090909090909091,1.4288926363636365,8.363636363636363,1.5129397272727274,6.090909090909091,1.4288926363636365,8.363636363636363,1.5129397272727274,6.090909090909091,1.4288926363636365,8.363636363636363
h,1.29257,0.557605,1.29257,0.557605,"{'att': 146, 'def': 25}","{'att': 229, 'def': 18}",6,2,1,1,2.0292,d,2022-10-29,0,1,0,1,0.734965,1.45442,6.0,2.056751666666667,12.333333333333334,1.37448,5.5,2.1541412500000003,11.5,1.308784,6.2,1.8749386000000001,10.4,1.47057975,5.833333333333333,1.5978324166666669,8.416666666666666,1.47057975,5.833333333333333,1.5978324166666669,8.416666666666666,1.47057975,5.833333333333333,1.5978324166666669,8.416666666666666
a,1.2204,1.29696,0.459234,1.29696,"{'att': 187, 'def': 14}","{'att': 276, 'def': 17}",6,10,2,2,1.3210000000000002,d,2022-11-05,0,1,0,1,-0.837726,1.2498233333333333,5.333333333333333,1.523726666666667,8.333333333333334,1.4139575,6.0,1.6819650000000002,9.75,1.358098,5.6,1.8348340000000003,9.6,1.4568866923076924,5.846153846153846,1.5178149230769231,7.923076923076923,1.4568866923076924,5.846153846153846,1.5178149230769231,7.923076923076923,1.4568866923076924,5.846153846153846,1.5178149230769231,7.923076923076923
a,3.29012,1.605,3.29012,1.605,"{'att': 214, 'def': 13}","{'att': 63, 'def': 15}",6,26,2,1,2.4331,w,2022-11-12,1,0,0,3,1.68512,1.17253,5.0,1.7702450000000003,7.0,1.2424675,5.5,1.467035,8.75,1.3752460000000002,6.0,1.6049640000000003,9.8,1.479143076923077,6.076923076923077,1.5825276153846155,8.307692307692308,1.4399947857142856,5.857142857142857,1.5020395714285715,8.071428571428571,1.4399947857142856,5.857142857142857,1.5020395714285715,8.071428571428571
h,2.25263,0.883787,2.25263,0.883787,"{'att': 278, 'def': 24}","{'att': 141, 'def': 16}",7,5,2,2,2.4435,d,2022-12-26,0,1,0,1,1.368843,1.9343633333333334,6.0,1.1531883333333333,12.666666666666666,1.7019275,5.25,1.7289337500000004,11.75,1.651998,5.6,1.494628,12.2,1.6254715384615386,6.3076923076923075,1.637063153846154,9.461538461538462,1.5633364666666667,5.866666666666666,1.5089036,9.266666666666667,1.5633364666666667,5.866666666666666,1.5089036,9.266666666666667
a,1.51436,1.13979,1.51436,1.13979,"{'att': 274, 'def': 9}","{'att': 200, 'def': 20}",7,5,2,0,1.723,w,2022-12-30,1,0,0,3,0.3745699999999998,2.254383333333333,6.333333333333333,1.2619156666666667,13.666666666666666,2.01393,6.25,1.085838,10.75,1.812068,5.6,1.5599044000000002,10.4,1.6761723076923079,6.230769230769231,1.4820206153846154,9.307692307692308,1.6064173125,5.9375,1.4698338125000001,9.0,1.6064173125,5.9375,1.4698338125000001,9.0
h,2.0991,2.10461,2.0991,2.10461,"{'att': 274, 'def': 17}","{'att': 86, 'def': 18}",0,19,3,1,1.3942,w,2023-01-02,1,0,0,3,-0.0055100000000001,2.35237,6.666666666666667,1.2095256666666667,12.0,2.0693775,6.5,1.23138425,11.5,1.9140160000000002,6.4,1.0966284000000002,9.6,1.616976153846154,6.076923076923077,1.4424160000000001,9.153846153846153,1.6428731250000002,6.1875,1.51258975,9.0,1.6010021764705884,6.0,1.4504194705882352,8.764705882352942
h,1.29815,0.269283,0.536983,0.269283,"{'att': 221, 'def': 17}","{'att': 213, 'def': 21}",3,2,2,0,2.4159,w,2023-01-14,1,0,0,3,0.2677,1.9553633333333333,4.666666666666667,1.3760623333333335,9.666666666666666,2.2890525,5.0,1.4332967500000002,13.75,2.075322,5.2,1.4060294000000002,13.0,1.6539776923076925,5.461538461538462,1.544511923076923,10.538461538461538,1.6873262500000001,6.0,1.5881255,9.5,1.6286742777777778,5.666666666666667,1.486763388888889,9.333333333333334
a,0.17114,0.374736,0.17114,0.374736,"{'att': 190, 'def': 27}","{'att': 167, 'def': 23}",5,7,0,0,0.9567,d,2023-01-22,0,1,0,1,-0.203596,1.6372033333333331,3.3333333333333335,1.1712276666666668,8.666666666666666,1.7910599999999999,4.25,1.0993675,7.75,2.090872,4.6,1.2004940000000002,11.4,1.542412307692308,5.3076923076923075,1.4270721538461542,10.0,1.668865625,5.6875,1.4237469375000003,9.1875,1.6112782631578948,5.526315789473684,1.4226854736842107,8.947368421052632
