assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,2,0,0.0,513,0.0,0.0,0.0,1.77,10,2,0,0.0,0.0,2022-08-07,61,13,0,0,0,0,1,0,109416,0,2,0,0.0,1,0,0,0,45,True,0,0,0,0,0.0,1,Alphonse Areola,19,MCI,1340,1380,WHU,1145,1060,2022,0.0,,0.246188,2.0,0.246188,2.58739,11.0,1.82623
0,0,0,0,0.0,513,0.0,0.0,0.0,0.0,18,0,0,0.0,0.0,2022-08-14,0,16,0,0,0,0,2,0,144192,0,0,1,0.0,0,5600,17747,12147,45,False,0,0,0,0,0.0,1,Alphonse Areola,19,NFO,1065,1030,WHU,1150,1110,2022,0.0,,2.08634,7.0,1.32517,1.9717,4.0,1.9717
0,0,0,0,0.0,513,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,2022-08-21,0,5,0,0,0,0,3,0,134155,0,2,0,0.0,0,-15739,6319,22058,45,True,0,0,0,0,0.0,1,Alphonse Areola,19,BHA,1150,1200,WHU,1145,1060,2022,0.0,,0.768634,6.0,0.768634,1.82645,2.0,1.06528
0,0,0,0,0.0,513,0.0,0.0,0.0,0.0,32,0,0,0.0,0.0,2022-08-28,0,2,0,0,0,0,4,0,126965,0,1,0,0.0,0,-12391,2724,15115,45,False,0,0,0,0,0.0,1,Alphonse Areola,19,AVL,1070,1070,WHU,1150,1110,2022,0.0,,0.334589,3.0,0.334589,0.304555,4.0,0.304555
0,0,0,0,0.0,513,0.0,0.0,0.0,0.0,47,0,0,0.0,0.0,2022-08-31,0,18,0,0,0,0,5,0,122189,0,1,1,0.0,0,-7809,1920,9729,44,True,0,0,0,0,0.0,1,Alphonse Areola,19,TOT,1210,1230,WHU,1145,1060,2022,0.0,,1.52267,3.0,1.52267,0.723285,6.0,0.723285
0,0,0,0,0.0,513,0.0,0.0,0.0,0.0,54,0,0,0.0,0.0,2022-09-03,0,6,0,0,0,0,6,0,120092,0,1,2,0.0,0,-5341,3741,9082,44,False,0,0,0,0,0.0,1,Alphonse Areola,19,CHE,1190,1140,WHU,1150,1110,2022,0.0,,1.4196,1.0,1.4196,0.707333,4.0,0.707333
0,0,0,0,0.0,513,0.0,0.0,0.0,0.0,75,0,0,0.0,0.0,2022-09-18,0,8,0,0,0,0,8,0,119046,0,0,1,0.0,0,-860,1914,2774,44,False,0,0,0,0,0.0,1,Alphonse Areola,19,EVE,1070,1040,WHU,1150,1110,2022,0.0,,0.655351,2.0,0.655351,0.39773,3.0,0.39773
0,0,0,0,0.0,513,0.0,0.0,0.0,0.0,90,0,0,0.0,0.0,2022-10-01,0,20,0,0,0,0,9,0,118454,0,0,2,0.0,0,-1735,2800,4535,44,True,0,0,0,0,0.0,1,Alphonse Areola,19,WOL,1100,1080,WHU,1145,1060,2022,0.0,,1.03934,4.0,1.03934,0.575988,10.0,0.575988
0,0,0,0,0.0,513,0.0,0.0,0.0,0.0,100,0,0,0.0,0.0,2022-10-09,0,9,0,0,0,0,10,0,117386,0,1,3,0.0,0,-2141,2330,4471,44,True,0,0,0,0,0.0,1,Alphonse Areola,19,FUL,1065,1140,WHU,1145,1060,2022,0.0,,3.43676,7.0,2.67559,0.549848,5.0,0.549848
0,0,0,0,0.0,513,0.0,0.0,0.0,0.0,108,0,0,0.0,0.0,2022-10-16,0,17,0,0,0,0,11,0,116108,0,1,1,0.0,0,-1991,1536,3527,44,False,0,0,0,0,0.0,1,Alphonse Areola,19,SOU,1070,1060,WHU,1150,1110,2022,0.0,,1.70727,8.0,1.70727,0.524479,2.0,0.524479
