assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,Full_Name,Unique_ID,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,season,position
1,3,47,0,14.2,110,0.0740582570433616,1.01,0.7543930411338806,0.61,8,1,1,10.8,50.2,2024-08-18,83,False,7,0,0,0,0,1,0,232431,1,1,2,44.0,11,0,0,0,60,True,1,Yoane Wissa,110,2,1,1,0.7543930411338806,4,CRY,1140,1110,BRE,1070,1090,1.34863125,7.5,1.8481475,9.0,1.569843875,7.4375,1.70620575,9.5,1.96647,9.75,0.8726357499999999,4.0,1.58501475,6.5625,1.3909635375,6.0,2024,FWD
0,0,7,0,0.8,110,0.0,0.01,0.0,2.52,16,2,0,0.8,5.0,2024-08-25,72,False,12,0,0,0,0,2,0,417530,1,0,2,2.0,2,104855,135516,30661,60,False,0,Yoane Wissa,110,0,0,0,0.0,4,LIV,1340,1360,BRE,1100,1350,1.4547022500000002,5.75,1.8315425,7.5,1.540566375,7.3125,1.71181575,9.3125,3.6875825,16.0,1.2406137499999996,6.5,2.916590625,15.875,1.1685740624999998,6.0625,2024,FWD
0,2,36,0,37.1,110,0.2902472615242004,1.34,1.676953911781311,1.57,22,1,1,14.7,41.2,2024-08-31,90,False,17,0,0,0,0,3,0,738698,1,1,3,69.0,8,271078,368334,97256,61,True,0,Yoane Wissa,110,6,3,1,1.676953911781311,4,SOU,1060,1090,BRE,1070,1090,1.36666725,4.75,2.1472875,12.0,1.4631950625,6.8125,1.688643875,9.9375,1.09327025,5.75,2.4289672500000004,13.75,1.0957273125,5.1875,1.978620875,10.375,2024,FWD
0,2,31,0,4.8,110,0.0,0.34,0.5732027292251587,0.68,37,2,1,7.4,33.8,2024-09-14,45,False,13,0,0,0,0,4,0,769897,1,1,2,35.0,7,29193,223277,194084,61,False,0,Yoane Wissa,110,1,0,1,0.5732027292251587,4,MCI,1140,1300,BRE,1100,1350,1.85056475,5.75,2.2909775,12.75,1.67313325,7.6875,1.6329857500000002,9.625,2.4416425000000004,15.5,0.6821472500000001,3.5,2.5499364375,15.0625,0.94618696875,3.9375,2024,FWD
0,0,0,0,0.0,110,0.0,0.0,0.0,0.0,49,0,0,0.0,0.0,2024-09-21,0,False,18,0,0,0,0,5,0,495998,0,1,3,0.0,0,-274961,81784,356745,61,False,0,Yoane Wissa,110,0,0,0,0.0,4,TOT,1140,1300,BRE,1100,1350,1.68790725,6.0,1.766565,15.25,1.655265125,7.375,1.6007395,10.6875,1.61120375,12.25,1.0957122499999998,3.75,1.8843969375,12.4375,1.653883375,5.75,2024,FWD
0,0,0,0,0.0,110,0.0,0.0,0.0,0.0,53,0,0,0.0,0.0,2024-09-28,0,False,19,0,0,0,0,6,0,291187,0,1,1,0.0,0,-208267,1851,210118,60,True,0,Yoane Wissa,110,0,0,0,0.0,4,WHU,1070,1130,BRE,1070,1090,1.5661385,7.0,2.453375,18.5,1.5565379375,7.5,1.7096463750000002,11.1875,0.9805992499999996,6.5,2.4630875000000003,10.5,1.373263375,4.8125,2.38134875,12.5,2024,FWD
0,0,0,0,0.0,110,0.0,0.0,0.0,0.0,63,0,0,0.0,0.0,2024-10-05,0,False,20,0,0,0,0,7,0,218924,0,3,5,0.0,0,-75589,1118,76707,59,True,0,Yoane Wissa,110,0,0,0,0.0,4,WOL,1070,1120,BRE,1070,1090,1.54438425,8.25,1.99333675,16.25,1.533849375,7.75,1.6649543125,10.6875,0.919091,4.0,1.8462175,9.75,1.0629025,4.25,2.126460625,10.75,2024,FWD
0,0,1,0,1.7,110,0.0,0.01,0.0,0.36,75,0,0,0.4,0.0,2024-10-19,24,False,14,0,0,0,0,8,0,190161,0,1,2,2.0,1,-30132,2484,32616,59,False,0,Yoane Wissa,110,0,0,0,0.0,4,MUN,1140,1110,BRE,1100,1350,1.61246425,6.75,1.75561775,15.25,1.714093125,7.8125,1.5398601875000002,10.5625,1.606687,9.0,2.2413047499999994,8.0,1.5705770625000002,8.4375,2.19222875,9.625,2024,FWD
1,1,38,0,2.9,110,0.0,1.46,1.081411361694336,1.3,83,3,1,9.9,40.6,2024-10-26,90,False,10,0,0,0,0,9,0,310897,1,3,4,55.0,10,112793,121111,8318,59,True,0,Yoane Wissa,110,4,0,1,1.081411361694336,4,IPS,1070,1080,BRE,1070,1090,1.57294,6.0,1.80880775,12.75,1.5720914375,6.6875,1.58835925,10.875,1.4624275,5.0,2.5112825,6.75,1.012585125,3.25,2.4997700000000003,8.875,2024,FWD
0,0,7,1,4.8,110,0.0,0.01,0.0,0.75,92,0,0,0.3,0.0,2024-11-04,71,False,9,0,0,0,0,10,0,576529,1,1,2,0.0,2,259084,279435,20351,60,False,0,Yoane Wissa,110,0,0,0,0.0,4,FUL,1140,1110,BRE,1100,1350,2.37370625,7.0,1.2493502499999998,10.0,1.801674625,6.75,1.615418,10.75,2.0801075,6.25,1.0754965,8.0,1.7081055937499998,6.0625,1.2768510625,6.125,2024,FWD
