assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,Full_Name,Unique_ID,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,season,position,modified
0,0,3,0,1.8,678,0.0,0.09,0.1015095189213752,0.16,296,0,0,1.9,1.4,2024-03-31,29,1,0,0,0,0,30,0,200451,0,0,0,16.0,1,-3711,2543,6254,64,True,0,Jérémy Doku,346,2,0,0,0.1015095189213752,13,ARS,1370,1360,MCI,1350,1360,2.216435,18.5,0.3717822500000002,2.75,2.3834250625,15.6875,0.7380040625,2.5,2.08716,15.75,0.959593,4.75,2.1316493750000003,13.1875,1.042599875,4.5,2023,MID,
1,1,27,0,51.6,678,0.335792601108551,0.32,0.2111366689205169,0.69,309,1,0,14.3,38.2,2024-04-03,79,2,0,0,0,0,31,0,198277,1,1,4,53.0,6,-2491,1815,4306,64,True,0,Jérémy Doku,346,3,4,0,0.2111366689205169,13,AVL,1220,1350,MCI,1350,1360,1.3781285,7.75,1.919385,6.0,1.8292058125,9.4375,1.6353669375,5.875,1.7577675,12.5,0.96149375,6.25,2.09564125,12.875,1.026670125,4.5625,2023,MID,
0,0,0,0,0.0,678,0.0,0.0,0.0,0.0,313,0,0,0.0,0.0,2024-04-06,0,7,0,0,0,0,32,0,200038,0,4,2,0.0,0,1300,6005,4705,64,False,0,Jérémy Doku,346,0,0,0,0.0,13,CRY,1080,1060,MCI,1360,1370,1.1510695,5.0,1.460538,6.5,1.19327225,5.8125,1.6744187875,7.6875,2.2779375,15.75,1.026629,5.25,2.156250625,13.75,1.0737546875,4.625,2023,MID,
2,3,52,0,46.4,678,0.2334917485713958,0.83,0.614730179309845,0.49,327,1,1,18.4,62.0,2024-04-13,90,22,0,0,0,0,33,0,214501,1,1,5,76.0,16,13953,21511,7558,64,True,0,Jérémy Doku,346,6,3,1,0.614730179309845,13,LUT,1060,1120,MCI,1350,1360,0.7132615,4.75,1.5444645,11.75,1.619033125,5.0,2.196823,8.8125,2.1834575,14.25,1.361868,5.5,2.235115,14.5,1.0301621875,4.1875,2023,MID,
0,0,1,0,0.3,678,0.0,0.11,0.3335172235965729,0.23,282,0,0,2.2,5.0,2024-04-25,12,5,0,0,0,0,34,0,224304,0,4,0,17.0,1,9824,22469,12645,64,False,0,Jérémy Doku,346,1,0,0,0.3335172235965729,13,BHA,1070,1135,MCI,1360,1370,0.7453047500000001,7.25,2.41304225,14.5,1.4675831875,8.6875,1.6993318125,9.75,3.0008475,22.25,1.00058175,3.75,2.3856725,16.25,1.0377083125,4.0625,2023,MID,
0,0,-2,0,2.1,678,0.0,0.05,0.0465715229511261,1.27,347,0,0,0.7,0.0,2024-04-28,45,16,0,0,0,0,35,0,219634,1,2,0,6.0,1,-6121,7545,13666,64,False,0,Jérémy Doku,346,2,0,0,0.0465715229511261,13,NFO,1050,1080,MCI,1360,1370,1.7247525,5.5,1.14823325,7.0,1.4594031875,5.75,1.2931800625,8.5,3.1720925,21.5,1.0157365,2.75,2.353710625,16.125,0.970349,4.0,2023,MID,
0,0,11,0,15.8,678,0.6315119862556458,0.63,0.0745280981063842,0.0,359,0,0,4.3,10.2,2024-05-04,10,20,0,0,0,0,36,0,215847,0,1,5,17.0,1,-4293,4932,9225,64,True,0,Jérémy Doku,346,1,1,0,0.0745280981063842,13,WOL,1105,1100,MCI,1350,1360,0.89899,3.5,1.6829225,11.0,1.4035899375,6.0625,1.7584708125,9.625,2.43584825,16.25,1.262409,3.25,2.2692639375,15.875,1.028963375,4.1875,2023,MID,
0,0,-1,0,1.0,678,0.0,0.08,0.1287919729948043,0.0,364,0,0,2.4,2.0,2024-05-11,15,9,0,0,0,0,37,0,210018,0,4,0,21.0,1,-5877,6046,11923,64,False,0,Jérémy Doku,346,1,0,0,0.1287919729948043,13,FUL,1050,1060,MCI,1360,1370,1.8257375,7.0,1.08519225,6.25,1.6084988125,8.625,1.6169580625000002,8.625,3.00125075,16.0,0.98795075,3.0,2.4119595625,16.3125,1.037318125,4.1875,2023,MID,
1,0,10,0,1.7,678,0.0,0.06,0.0992273390293121,0.82,339,0,0,3.4,7.2,2024-05-14,21,18,0,0,0,0,37,0,210018,0,2,0,25.0,4,-5877,6046,11923,64,False,0,Jérémy Doku,346,1,0,0,0.0992273390293121,13,TOT,1110,1230,MCI,1360,1370,2.0124125,10.25,1.98789025,9.0,1.9144966875,12.75,1.7502326874999998,6.9375,2.62868325,10.0,0.807663125,2.75,2.4493133125,15.5625,0.96558340625,3.875,2023,MID,
1,0,19,0,39.4,678,0.2596957981586456,0.25,0.221474602818489,0.36,379,1,0,15.5,44.0,2024-05-19,90,19,0,0,0,0,38,0,207203,1,1,3,72.0,5,-3449,5234,8683,64,True,0,Jérémy Doku,346,4,3,0,0.221474602818489,13,WHU,1140,1150,MCI,1350,1360,1.6858434999999996,4.75,2.7175790000000006,11.75,1.4036093125,4.0,2.28074375,12.5625,2.82824325,10.75,1.125370375,3.25,2.5027976875,15.5625,0.98756528125,3.9375,2023,MID,
0,0,20,1,23.3,346,0.046097420156002,0.22,0.1034739688038826,1.01,9,0,0,6.5,12.8,2024-08-18,90,6,0,0,0,0,1,0,280527,1,2,0,29.0,3,0,0,0,65,False,0,Jérémy Doku,346,2,1,0,0.1034739688038826,13,CHE,1150,1360,MCI,1230,1350,2.4426925,10.5,1.6664547500000002,8.25,2.2747368125,9.625,1.7291985625,9.125,3.1739875,13.5,0.6421301250000002,1.75,2.5157470625,15.8125,0.94846640625,3.75,2024,MID,False
0,0,14,0,26.6,346,0.6963613033294678,0.44,0.0,0.29,17,1,0,4.3,10.4,2024-08-24,70,10,0,0,0,0,2,0,494364,1,1,4,6.0,2,139711,174178,34467,65,True,0,Jérémy Doku,346,0,2,0,0.0,13,IPS,1070,1080,MCI,1140,1300,0.342601,2.0,3.92906,13.0,0.342601,2.0,3.92906,13.0,2.3377275,11.25,0.8082158750000001,3.5,2.4901639375,15.8125,1.00278878125,4.1875,2024,MID,False
0,0,21,0,36.2,346,0.1590382158756256,0.28,0.0934814065694809,0.29,30,1,0,7.1,13.6,2024-08-31,67,19,0,0,0,0,3,0,425024,1,3,1,21.0,2,-76263,52587,128850,65,False,0,Jérémy Doku,346,1,2,0,0.0934814065694809,13,WHU,1080,1100,MCI,1230,1350,2.0722897499999995,4.5,1.7504740000000003,8.75,1.5220158124999998,4.25,2.297020625,12.0625,2.3192275,11.75,0.9060595,3.5,2.5089795625,14.9375,0.91847434375,3.6875,2024,MID,False
0,0,0,0,0.0,346,0.0,0.0,0.0,0.0,37,0,0,0.0,0.0,2024-09-14,0,4,0,0,0,0,4,0,366083,0,1,2,0.0,0,-72245,33235,105480,65,True,0,Jérémy Doku,346,0,0,0,0.0,13,BRE,1100,1350,MCI,1140,1300,1.85056475,5.75,2.2909775,12.75,1.67313325,7.6875,1.6329857500000002,9.625,2.4416425000000004,15.5,0.6821472500000001,3.5,2.5499364375,15.0625,0.94618696875,3.9375,2024,MID,False
0,0,9,0,20.1,346,0.018000504001975,0.11,0.0507992394268512,0.6,47,2,0,3.8,6.4,2024-09-22,69,1,0,0,0,0,5,0,292835,1,2,2,11.0,2,-77383,6351,83734,65,True,0,Jérémy Doku,346,2,1,0,0.0507992394268512,13,ARS,1370,1350,MCI,1140,1300,1.6452924999999998,8.25,1.1256375,5.25,2.11561075,14.5625,0.8977935625,4.375,2.25108,17.0,0.8848425,5.0,2.5347133125,15.625,0.95400265625,3.8125,2024,MID,False
0,0,2,0,1.3,346,0.0,0.01,0.0,0.0,58,0,0,0.3,1.4,2024-09-28,9,15,0,0,0,0,6,0,257268,0,1,1,0.0,1,-40244,12343,52587,64,False,0,Jérémy Doku,346,0,0,0,0.0,13,NEW,1100,1130,MCI,1230,1350,1.5152300000000003,6.75,2.2123175,7.5,2.1232315,9.4375,1.657095875,6.9375,2.644955,17.75,0.9405625000000002,3.25,2.5418476875,14.8125,1.02464928125,3.8125,2024,MID,False
0,0,24,0,4.2,346,0.0,0.06,0.0407094098627567,0.86,69,1,1,4.5,34.0,2024-10-05,28,9,0,0,0,0,7,0,227660,0,2,3,7.0,6,-32731,8298,41029,64,True,0,Jérémy Doku,346,1,0,1,0.0407094098627567,13,FUL,1140,1160,MCI,1140,1300,2.1805425,5.25,0.7754495,4.25,1.56644371875,6.625,1.41387825,6.125,2.1917,18.0,1.1564227500000002,4.75,2.5351145625,15.5,0.96768178125,3.6875,2024,MID,False
1,0,24,0,29.4,346,0.1188041120767593,0.32,0.1378750801086425,0.97,80,1,0,10.0,27.0,2024-10-20,65,20,0,0,0,0,8,0,240710,1,2,1,44.0,5,7999,24026,16027,63,False,0,Jérémy Doku,346,3,2,0,0.1378750801086425,13,WOL,1070,1100,MCI,1230,1350,0.8587465,5.5,2.5273275,9.75,1.002523375,4.5625,2.304736875,11.0,1.7351675,14.75,1.6092375,6.25,2.5442864375,15.625,1.10812290625,3.9375,2024,MID,False
0,0,0,0,0.0,346,0.0,0.0,0.0,0.0,89,0,0,0.0,0.0,2024-10-26,0,17,0,0,0,0,9,0,225869,0,0,1,0.0,0,-15195,18608,33803,63,True,0,Jérémy Doku,346,0,0,0,0.0,13,SOU,1060,1090,MCI,1140,1300,1.823772,6.25,2.294265,9.25,1.3509453750000002,6.125,2.3205658125,11.9375,1.6883925,15.5,1.5368067500000002,4.75,2.3873270625,15.5625,1.08154709375,3.6875,2024,MID,False
0,0,6,0,11.0,346,0.0225153788924217,0.05,0.0555632337927818,0.0,91,0,0,4.3,7.0,2024-11-02,5,3,0,0,0,0,10,0,174267,0,1,2,25.0,1,-51291,225,51516,63,False,0,Jérémy Doku,346,1,1,0,0.0555632337927818,13,BOU,1080,1190,MCI,1230,1350,1.47615525,6.75,1.0807222500000002,7.25,1.8236050625,7.0,1.6759793125,10.8125,1.7901375000000002,15.25,1.3082765,6.0,2.4435176875,15.0625,1.01125140625,3.9375,2024,MID,False
0,0,0,0,0.0,346,0.0,0.0,0.0,0.0,102,0,0,0.0,0.0,2024-11-09,0,5,0,0,0,0,11,0,174531,0,1,2,0.0,0,-2451,6361,8812,63,False,0,Jérémy Doku,346,0,0,0,0.0,13,BHA,1080,1140,MCI,1230,1350,1.544805,6.75,1.4876175,9.25,1.6398431875,7.0625,1.57867146875,6.75,2.0620225000000003,15.5,1.5847415000000002,5.75,2.3004083125,13.8125,1.11372171875,4.1875,2024,MID,False
0,0,0,0,0.0,346,0.0,0.0,0.0,0.0,118,0,0,0.0,0.0,2024-11-23,0,18,0,0,0,0,12,0,163554,0,4,0,0.0,0,-11304,1575,12879,63,True,0,Jérémy Doku,346,0,0,0,0.0,13,TOT,1140,1350,MCI,1140,1300,1.5770275000000002,9.75,1.6272059999999997,5.5,2.1020246875,11.3125,1.5122263750000002,5.5625,2.3711475,14.5,1.6129165000000003,4.25,2.3440501875,13.875,1.2574179062500002,4.3125,2024,MID,False
0,0,9,0,13.2,346,0.0859927162528038,0.07,0.0634948462247848,1.07,125,1,0,3.9,10.6,2024-12-01,33,12,0,0,0,0,13,0,155835,0,0,2,15.0,1,-8072,186,8258,63,False,0,Jérémy Doku,346,1,1,0,0.0634948462247848,13,LIV,1340,1360,MCI,1230,1350,2.258535,9.5,1.3267999999999998,5.25,2.557729375,12.1875,1.1111598125,5.0625,2.5694725,11.75,2.24873475,6.25,2.420733125,14.4375,1.32812853125,4.4375,2024,MID,False
1,2,45,1,20.4,346,0.3475396633148193,0.43,0.404386967420578,1.04,138,0,1,12.2,59.2,2024-12-04,89,16,0,0,0,0,14,0,158809,1,0,3,42.0,13,2111,6980,4869,62,True,0,Jérémy Doku,346,3,1,1,0.404386967420578,13,NFO,1230,1130,MCI,1140,1300,1.424409,4.5,1.031072,9.0,1.6156799375,6.25,1.330527375,7.3125,1.9650112500000003,9.75,3.0813725,6.75,2.1844578125000003,13.5,1.53460684375,4.875,2024,MID,False
0,0,3,0,1.3,346,0.0,0.01,0.0,0.11,143,0,0,1.0,6.4,2024-12-07,11,7,0,0,0,0,15,0,213703,0,2,2,2.0,1,50150,54983,4833,62,False,0,Jérémy Doku,346,0,0,0,0.0,13,CRY,1130,1110,MCI,1230,1350,1.8812275,5.75,1.44763925,5.5,1.6253938125,6.5,1.5736395625,5.9375,2.17725875,8.0,2.66958625,7.0,2.1875521875,13.3125,1.5792025,5.25,2024,MID,False
0,0,7,1,20.4,346,0.0,0.09,0.0334349237382411,0.67,156,0,0,4.4,10.6,2024-12-15,76,14,0,0,0,0,16,0,193868,1,2,1,13.0,3,-17362,7765,25127,62,True,0,Jérémy Doku,346,1,0,0,0.0334349237382411,13,MUN,1140,1170,MCI,1140,1300,1.1891282499999998,5.75,1.5929865,4.75,1.5503338125,6.9375,1.7179402499999998,6.625,1.92257375,11.0,2.25548625,7.25,2.1176328125,13.9375,1.539946875,5.3125,2024,MID,False
0,0,6,0,1.0,346,0.0,0.0,0.0,0.0,161,0,0,0.3,2.0,2024-12-21,6,2,0,0,0,0,17,0,186491,0,1,2,0.0,1,-8929,6941,15870,62,False,0,Jérémy Doku,346,0,0,0,0.0,13,AVL,1080,1140,MCI,1230,1350,1.7487440000000003,8.75,1.4384954999999997,5.25,1.9350715625,7.9375,1.485471,5.125,1.542352,8.5,1.94101875,6.5,2.01282425,13.1875,1.6528506875,5.625,2024,MID,False
