assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,14,1,6.1,126,0.01,0.01,0.0,0.45,3,0,0,2.0,11.8,2024-08-17 14:00:00+00:00,90,8,0,0,0,0,1,0,2263,1,3,0,2.0,3,0,0,0,50,False,0,3,Jack Hinshelwood,5,EVE,1080,1080,BHA,1130,1220,1,2024
0,0,13,0,12.8,126,0.19,0.19,0.0,1.43,13,1,0,2.2,5.0,2024-08-24 11:30:00+00:00,90,14,0,0,0,0,2,0,3821,1,1,2,4.0,2,309,757,448,50,True,0,3,Jack Hinshelwood,5,MUN,1140,1170,BHA,1070,1130,1,2024
0,0,13,0,18.3,126,0.14,0.34,0.2,2.08,21,1,0,5.6,12.6,2024-08-31 11:30:00+00:00,90,1,0,0,0,0,3,0,4326,1,1,1,25.0,2,86,903,817,50,False,0,3,Jack Hinshelwood,5,ARS,1360,1340,BHA,1130,1220,1,2024
0,0,10,1,20.1,126,0.11,0.11,0.0,0.21,33,0,0,3.2,11.4,2024-09-14 14:00:00+00:00,66,10,0,0,0,0,4,0,6543,1,0,0,0.0,2,1554,2785,1231,50,True,1,3,Jack Hinshelwood,5,IPS,1080,1100,BHA,1070,1130,1,2024
0,3,36,0,26.6,126,0.15,0.27,0.12,1.53,42,2,1,8.4,40.6,2024-09-22 13:00:00+00:00,90,16,0,0,0,0,5,0,6434,1,2,2,17.0,10,-142,502,644,50,True,0,3,Jack Hinshelwood,5,NFO,1130,1070,BHA,1070,1130,1,2024
0,0,6,0,14.0,126,0.02,0.02,0.0,4.16,54,4,0,1.7,0.8,2024-09-28 14:00:00+00:00,90,6,0,0,0,0,6,0,14917,1,2,4,2.0,2,7443,9431,1988,50,False,0,3,Jack Hinshelwood,5,CHE,1130,1320,BHA,1130,1220,1,2024
0,0,6,0,3.5,126,0.01,0.07,0.06,1.37,64,2,0,1.0,2.2,2024-10-06 15:30:00+00:00,90,18,0,0,0,0,7,0,16830,1,2,3,4.0,2,1710,4492,2782,50,True,0,3,Jack Hinshelwood,5,TOT,1170,1350,BHA,1070,1130,1,2024
0,0,12,1,3.4,126,0.03,0.04,0.01,2.02,76,0,0,2.6,17.4,2024-10-19 14:00:00+00:00,90,15,0,0,0,0,8,0,17300,1,1,0,5.0,2,295,2232,1937,50,False,1,3,Jack Hinshelwood,5,NEW,1100,1130,BHA,1130,1220,1,2024
0,0,0,0,0.0,126,0.0,0.0,0.0,0.0,84,0,0,0.0,0.0,2024-10-26 14:00:00+00:00,0,20,0,0,0,0,9,0,17530,0,2,2,0.0,0,52,1585,1533,50,True,0,3,Jack Hinshelwood,5,WOL,1060,1120,BHA,1070,1130,1,2024
0,0,16,0,5.0,126,0.02,0.02,0.0,1.65,94,2,0,1.2,6.8,2024-11-02 15:00:00+00:00,87,12,0,0,0,0,10,0,14170,1,1,2,0.0,2,-3282,275,3557,50,False,0,3,Jack Hinshelwood,5,LIV,1360,1340,BHA,1130,1220,1,2024
0,0,3,0,1.5,126,0.0,0.35,0.35,1.95,102,1,0,2.7,8.4,2024-11-09 17:30:00+00:00,56,13,0,0,0,0,11,0,12929,1,1,2,17.0,1,-1411,260,1671,50,True,0,3,Jack Hinshelwood,5,MCI,1350,1390,BHA,1070,1130,1,2024
