assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season
0,0,6,0,0.3,307,0.0,0.0,0.0,1.23,10,1,0,1.6,15.8,2024-08-19,90,18,0,0,0,0,1,0,145212,1,1,1,0.0,2,0,0,0,40,True,0,0,0,0,0.0,2,Jannik Vestergaard,11,TOT,1170,1350,LEI,1060,1090,2024
0,0,1,0,0.3,307,0.0,0.01,0.0112053835764527,1.78,15,2,0,2.9,22.0,2024-08-24,90,9,0,0,0,0,2,0,267915,1,1,2,7.0,0,74537,88272,13735,40,False,1,1,0,0,0.0112053835764527,2,Jannik Vestergaard,11,FUL,1100,1100,LEI,1120,1080,2024
0,0,0,0,0.0,307,0.0,0.0,0.0,0.0,26,0,0,0.0,0.0,2024-08-31,0,2,0,0,0,0,3,0,302305,0,2,1,0.0,0,29044,62563,33519,40,True,0,0,0,0,0.0,2,Jannik Vestergaard,11,AVL,1140,1300,LEI,1060,1090,2024
0,0,0,0,0.0,307,0.0,0.0,0.0,0.0,34,0,0,0.0,0.0,2024-09-14,0,7,0,0,0,0,4,0,308083,0,2,2,0.0,0,2530,37469,34939,40,False,0,0,0,0,0.0,2,Jannik Vestergaard,11,CRY,1100,1090,LEI,1120,1080,2024
0,0,0,0,0.0,307,0.0,0.0,0.0,0.0,45,0,0,0.0,0.0,2024-09-21,0,8,0,0,0,0,5,0,296952,0,1,1,0.0,0,-11280,8896,20176,40,True,0,0,0,0,0.0,2,Jannik Vestergaard,11,EVE,1100,1100,LEI,1060,1090,2024
0,0,0,0,0.0,307,0.0,0.0,0.0,0.0,51,0,0,0.0,0.0,2024-09-28,0,1,0,0,0,0,6,0,263056,0,2,4,0.0,0,-33282,6098,39380,40,False,0,0,0,0,0.0,2,Jannik Vestergaard,11,ARS,1360,1340,LEI,1120,1080,2024
0,0,0,0,0.0,307,0.0,0.0,0.0,0.0,68,0,0,0.0,0.0,2024-10-05,0,3,0,0,0,0,7,0,242458,0,0,1,0.0,0,-21477,2824,24301,40,True,0,0,0,0,0.0,2,Jannik Vestergaard,11,BOU,1130,1160,LEI,1060,1090,2024
0,0,0,0,0.0,307,0.0,0.0,0.0,0.0,78,0,0,0.0,0.0,2024-10-19,0,17,0,0,0,0,8,0,236035,0,3,2,0.0,0,-7858,3311,11169,40,False,0,0,0,0,0.0,2,Jannik Vestergaard,11,SOU,1060,1060,LEI,1120,1080,2024
0,0,0,0,0.0,307,0.0,0.0,0.0,0.0,88,0,0,0.0,0.0,2024-10-25,0,16,0,0,0,0,9,0,222641,0,3,1,0.0,0,-13205,1292,14497,40,True,0,0,0,0,0.0,2,Jannik Vestergaard,11,NFO,1130,1070,LEI,1060,1090,2024
0,0,14,0,11.8,307,0.0206855908036232,0.02,0.0,1.0,93,1,0,4.1,29.2,2024-11-02,90,10,0,0,0,0,10,0,208822,1,1,1,0.0,2,-14357,1433,15790,40,False,0,0,1,0,0.0,2,Jannik Vestergaard,11,IPS,1070,1050,LEI,1120,1080,2024
0,0,1,0,1.5,307,0.0,0.0,0.0,0.7,106,3,0,1.3,11.2,2024-11-10,90,14,0,0,0,0,11,0,205496,1,0,3,0.0,1,-3967,2198,6165,40,False,0,0,0,0,0.0,2,Jannik Vestergaard,11,MUN,1130,1120,LEI,1120,1080,2024
0,0,0,0,0.0,307,0.0,0.0,0.0,0.0,117,0,0,0.0,0.0,2024-11-23,0,6,0,0,0,0,12,0,203462,0,2,1,0.0,0,-2630,4021,6651,40,True,0,0,0,0,0.0,2,Jannik Vestergaard,11,CHE,1130,1330,LEI,1060,1090,2024
0,0,1,0,0.9,307,0.0,0.01,0.0,1.17,121,2,0,1.5,13.8,2024-11-30,55,4,0,0,0,0,13,0,199491,0,1,4,0.0,0,-4002,1364,5366,40,False,0,0,0,0,0.0,2,Jannik Vestergaard,11,BRE,1080,1100,LEI,1120,1080,2024
0,0,16,0,0.3,307,0.0,0.0,0.0,1.81,137,0,0,1.7,14.6,2024-12-03,59,19,0,0,0,0,14,0,195981,1,1,3,2.0,1,-3938,1665,5603,40,True,0,0,0,0,0.0,2,Jannik Vestergaard,11,WHU,1070,1130,LEI,1060,1090,2024
