assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order
0,0,0,0,0.0,358,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2024-08-18,0,6,0,0,0,0,1,0,77703,0,2,0,0.0,0,0,0,0,55,False,0,0,0,0,0.0,1,Stefan Ortega Moreno,13,CHE,1130,1320,MCI,1350,1390,2024,0.0,
0,0,0,0,0.0,358,0.0,0.0,0.0,0.0,17,0,0,0.0,0.0,2024-08-24,0,10,0,0,0,0,2,0,73048,0,1,4,0.0,0,-10953,476,11429,55,True,0,0,0,0,0.0,1,Stefan Ortega Moreno,13,IPS,1080,1100,MCI,1350,1360,2024,0.0,
0,0,0,0,0.0,358,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,2024-08-31,0,19,0,0,0,0,3,0,66006,0,3,1,0.0,0,-9360,394,9754,54,False,0,0,0,0,0.0,1,Stefan Ortega Moreno,13,WHU,1080,1120,MCI,1350,1390,2024,0.0,
0,0,0,0,0.0,358,0.0,0.0,0.0,0.0,37,0,0,0.0,0.0,2024-09-14,0,4,0,0,0,0,4,0,62221,0,1,2,0.0,0,-6004,432,6436,54,True,0,0,0,0,0.0,1,Stefan Ortega Moreno,13,BRE,1120,1190,MCI,1350,1360,2024,0.0,
0,0,0,0,0.0,358,0.0,0.0,0.0,0.0,47,0,0,0.0,0.0,2024-09-22,0,1,0,0,0,0,5,0,59830,0,2,2,0.0,0,-3279,216,3495,54,True,0,0,0,0,0.0,1,Stefan Ortega Moreno,13,ARS,1360,1390,MCI,1350,1360,2024,0.0,
0,0,0,0,0.0,358,0.0,0.0,0.0,0.0,58,0,0,0.0,0.0,2024-09-28,0,15,0,0,0,0,6,0,57687,0,1,1,0.0,0,-3096,527,3623,53,False,0,0,0,0,0.0,1,Stefan Ortega Moreno,13,NEW,1100,1130,MCI,1350,1390,2024,0.0,
0,0,0,0,0.0,358,0.0,0.0,0.0,0.0,69,0,0,0.0,0.0,2024-10-05,0,9,0,0,0,0,7,0,56609,0,2,3,0.0,0,-1949,348,2297,53,True,0,0,0,0,0.0,1,Stefan Ortega Moreno,13,FUL,1140,1180,MCI,1350,1360,2024,0.0,
0,0,0,0,0.0,358,0.0,0.0,0.0,0.0,80,0,0,0.0,0.0,2024-10-20,0,20,0,0,0,0,8,0,55987,0,2,1,0.0,0,-1557,431,1988,53,False,0,0,0,0,0.0,1,Stefan Ortega Moreno,13,WOL,1060,1090,MCI,1350,1390,2024,0.0,
0,0,0,0,0.0,358,0.0,0.0,0.0,0.0,89,0,0,0.0,0.0,2024-10-26,0,17,0,0,0,0,9,0,55719,0,0,1,0.0,0,-812,367,1179,53,True,0,0,0,0,0.0,1,Stefan Ortega Moreno,13,SOU,1070,1060,MCI,1350,1360,2024,0.0,
0,0,0,0,0.0,358,0.0,0.0,0.0,0.0,91,0,0,0.0,0.0,2024-11-02,0,3,0,0,0,0,10,0,55440,0,1,2,0.0,0,-936,481,1417,53,False,0,0,0,0,0.0,1,Stefan Ortega Moreno,13,BOU,1070,1130,MCI,1350,1390,2024,0.0,
0,0,0,0,0.0,358,0.0,0.0,0.0,0.0,102,0,0,0.0,0.0,2024-11-09,0,5,0,0,0,0,11,0,55114,0,1,2,0.0,0,-862,308,1170,53,False,0,0,0,0,0.0,1,Stefan Ortega Moreno,13,BHA,1070,1130,MCI,1350,1390,2024,0.0,
0,0,0,0,0.0,358,0.0,0.0,0.0,0.0,118,0,0,0.0,0.0,2024-11-23,0,18,0,0,0,0,12,0,54926,0,4,0,0.0,0,-883,251,1134,53,True,0,0,0,0,0.0,1,Stefan Ortega Moreno,13,TOT,1170,1350,MCI,1350,1360,2024,0.0,
0,0,11,0,0.0,358,0.0,0.0,0.0,3.35,125,2,0,3.5,35.2,2024-12-01,90,12,0,0,0,0,13,5,54774,1,0,2,0.0,2,-561,186,747,52,False,0,0,0,0,0.0,1,Stefan Ortega Moreno,13,LIV,1360,1340,MCI,1350,1390,2024,0.0,
0,0,31,1,0.0,358,0.0,0.0,0.0,1.04,138,0,0,2.8,27.8,2024-12-04,90,16,0,0,0,0,14,3,57393,1,0,3,0.0,7,1766,2513,747,52,True,0,0,0,0,0.0,1,Stefan Ortega Moreno,13,NFO,1130,1070,MCI,1350,1360,2024,0.0,
